prime,A,x0,trials,param_a_count,class_number
1009,911,203,19,2,16
1009,348,444,35,2,16
1009,1002,560,4,2,16
1009,583,26,15,2,16
1009,296,21,2,2,16
1009,839,297,26,2,16
1009,513,931,2,2,16
1009,441,392,1,2,16
1009,775,914,22,2,16
1009,936,786,16,2,16
1009,327,110,33,2,16
1009,569,224,9,2,16
1009,795,68,27,2,16
1009,596,249,5,2,16
1009,682,188,10,2,16
1009,295,791,17,2,16
1009,98,517,2,2,16
1009,986,969,5,2,16
1009,59,183,16,2,16
1009,440,576,8,2,16
1013,897,171,14,2,12
1013,256,656,4,2,14
1013,552,140,1,2,12
1013,217,288,11,2,12
1013,991,235,9,2,12
1013,787,770,2,2,14
1013,805,573,5,2,12
1013,605,944,3,2,12
1013,118,866,15,2,12
1013,226,8,6,2,14
1013,895,581,19,2,12
1013,319,232,13,2,12
1013,365,270,2,2,14
1013,84,177,7,2,12
1013,285,955,6,2,12
1013,119,268,5,2,12
1013,300,352,2,2,14
1013,84,135,31,2,12
1013,710,987,4,2,14
1013,473,829,13,2,14
1019,278,865,17,2,16
1019,452,874,9,2,16
1019,943,116,2,2,16
1019,270,363,32,2,16
1019,531,102,9,2,16
1019,741,536,2,2,16
1019,567,883,7,2,16
1019,768,923,5,2,10
1019,344,40,3,2,16
1019,543,121,12,2,16
1019,152,372,8,2,16
1019,599,1003,8,2,16
1019,174,979,4,2,16
1019,252,812,5,2,16
1019,270,626,1,2,16
1019,195,49,5,2,16
1019,174,69,16,2,16
1019,749,526,6,2,16
1019,599,156,14,2,16
1019,220,500,17,2,10
1021,803,457,14,2,24
1021,923,767,9,2,24
1021,187,37,5,2,24
1021,559,194,5,2,24
1021,567,599,10,2,24
1021,128,787,4,2,24
1021,454,679,2,2,24
1021,561,643,4,2,24
1021,282,431,2,2,24
1021,973,863,4,2,24
1021,1003,245,11,2,24
1021,739,488,9,2,24
1021,654,210,6,2,24
1021,282,749,4,2,24
1021,959,746,9,2,24
1021,226,465,8,2,4
1021,238,955,2,2,4
1021,853,392,9,2,24
1021,1003,247,8,2,24
1021,959,268,7,2,24
1031,240,1018,6,2,16
1031,745,795,13,2,6
1031,141,596,8,2,16
1031,10,444,10,2,16
1031,391,886,1,2,16
1031,986,511,6,2,16
1031,31,155,11,2,16
1031,323,180,8,2,16
1031,968,116,4,2,16
1031,592,466,1,2,16
1031,210,238,9,2,16
1031,934,180,6,2,16
1031,462,9,16,2,16
1031,688,108,4,2,16
1031,156,822,3,2,16
1031,45,414,23,2,16
1031,986,102,9,2,16
1031,286,610,1,2,6
1031,1027,170,34,2,16
1031,31,654,11,2,16
1033,923,903,8,2,16
1033,900,611,5,2,16
1033,345,602,10,2,16
1033,1029,589,2,2,16
1033,507,135,11,2,16
1033,702,346,2,2,12
1033,951,63,3,2,16
1033,286,516,8,2,16
1033,10,1019,5,2,16
1033,724,336,8,2,16
1033,487,996,4,2,16
1033,146,996,2,2,16
1033,855,80,15,2,16
1033,827,67,1,2,12
1033,365,16,14,2,16
1033,165,390,5,2,16
1033,980,690,2,2,16
1033,747,258,1,2,16
1033,824,68,10,2,16
1033,700,950,9,2,16
1039,835,436,5,2,16
1039,798,136,3,2,16
1039,890,473,10,2,16
1039,774,572,4,2,16
1039,706,819,11,2,16
1039,1008,380,18,2,16
1039,445,33,13,2,16
1039,890,87,1,2,16
1039,107,725,4,2,16
1039,652,214,9,2,16
1039,597,451,3,2,16
1039,1006,535,8,2,16
1039,1036,526,7,2,16
1039,936,1000,1,2,16
1039,1021,770,4,2,16
1039,797,256,37,2,16
1039,936,329,13,2,16
1039,23,294,6,2,16
1039,110,980,3,2,7
1039,767,711,1,2,16
1049,800,399,29,2,16
1049,254,955,4,2,12
1049,57,372,3,2,16
1049,713,520,14,2,16
1049,51,26,8,2,16
1049,83,1007,19,2,16
1049,136,178,1,2,12
1049,254,1046,2,2,12
1049,249,650,4,2,16
1049,592,175,5,2,12
1049,807,107,3,2,16
1049,83,245,16,2,16
1049,713,32,17,2,16
1049,1015,416,8,2,16
1049,72,511,5,2,16
1049,253,887,3,2,16
1049,998,459,3,2,16
1049,398,209,6,2,16
1049,739,749,6,2,16
1049,790,760,3,2,16
1051,374,756,8,2,16
1051,213,977,3,2,16
1051,976,254,8,2,16
1051,54,81,1,2,13
1051,768,1043,32,2,16
1051,232,336,4,2,16
1051,462,471,10,2,16
1051,473,21,20,2,16
1051,131,842,4,2,13
1051,167,302,48,2,16
1051,946,428,11,2,16
1051,613,1023,3,2,16
1051,903,1012,2,2,16
1051,1037,999,2,2,16
1051,1050,890,7,2,16
1051,973,982,3,2,13
1051,162,336,2,2,16
1051,4,525,5,2,16
1051,189,688,3,2,16
1051,131,710,5,2,13
1061,211,41,9,2,12
