prime,A,x0,trials,param_a_count,class_number
1001629,332914,719672,137,2,240
1001629,685846,282512,2835,2,440
1001629,322526,158837,985,2,440
1001629,812642,559537,380,2,440
1001629,421357,42440,28,2,240
1001629,884632,194980,357,2,440
1001629,695969,323096,701,2,240
1001629,733981,532156,858,2,440
1001629,125867,485982,739,2,240
1001629,168869,629093,443,2,240
1001629,564455,814883,751,2,240
1001629,830347,798908,302,2,440
1001629,245664,867307,1248,2,240
1001629,100474,295695,590,2,240
1001629,552598,360912,53,2,240
1001629,371985,28889,156,2,440
1001629,836093,14056,1299,2,240
1001629,300632,717866,166,2,440
1001629,496121,538859,373,2,440
1001629,988147,570489,148,2,240
1003109,574350,833476,57,2,498
1003109,223916,163602,250,2,498
1003109,865858,352806,136,2,498
1003109,255392,824922,464,2,498
1003109,6959,209026,527,2,444
1003109,48229,427718,33,2,498
1003109,891406,89210,145,2,498
1003109,507762,761005,418,2,444
1003109,81309,829008,385,2,498
1003109,189354,243781,331,2,444
1003109,505376,385358,1187,2,498
1003109,8149,915142,119,2,498
1003109,366992,463724,199,2,444
1003109,743222,284672,85,2,498
1003109,612648,980133,37,2,498
1003109,305227,848050,400,2,444
1003109,826274,523991,55,2,444
1003109,516172,354437,29,2,498
1003109,275076,459039,451,2,498
1003109,575097,481511,128,2,498
1006769,332879,583487,80,2,1152
1006769,678298,431336,31,2,1152
1006769,578961,443744,19,2,1152
1006769,614674,504223,17,2,320
1006769,257706,552565,53,2,1152
1006769,519557,918702,24,2,1152
1006769,133618,632619,111,2,1152
1006769,297331,786132,11,2,1152
1006769,158312,359398,395,2,1152
1006769,57717,548359,42,2,1152
1006769,980998,662134,24,2,1152
1006769,402228,806140,85,2,1152
1006769,721097,489041,276,2,1152
1006769,69882,629239,301,2,1152
1006769,827854,895231,64,2,1152
1006769,374891,788835,86,2,1152
1006769,27507,584262,3,2,1152
1006769,420982,37002,113,2,1152
1006769,395878,315522,176,2,1152
1006769,725183,943958,197,2,1152
1006883,541830,220243,563,2,960
1006883,414414,561695,227,2,960
1006883,231359,967259,510,2,960
1006883,147158,571343,311,2,960
1006883,609856,825714,263,2,960
1006883,817193,106186,131,2,470
1006883,899619,897632,62,2,960
1006883,64564,993323,247,2,470
1006883,230807,341994,377,2,960
1006883,929254,339297,191,2,960
1006883,20133,487311,13,2,960
1006883,880702,987002,282,2,960
1006883,214447,577058,14,2,960
1006883,979824,980947,81,2,960
1006883,199214,860633,4,2,960
1006883,237259,23947,154,2,960
1006883,156033,675679,14,2,960
1006883,381834,397831,60,2,470
1006883,430476,280167,120,2,960
1006883,50765,204913,132,2,960
1009159,509632,398986,229,2,576
