prime,A,x0,trials,param_a_count,class_number
1000155847,863778012,727938474,1823,4,18108
1000155847,569149792,35833246,1809,4,18108
1000155847,690287097,230848027,10411,4,10272
1000155847,536976559,894792673,5670,4,8276
1000155847,366369450,961850554,13065,4,18108
1002511057,342634800,946718450,18163,4,8192
1002511057,661184990,46314437,18632,4,12600
1002511057,46358622,194140195,6637,4,12600
1002511057,103676299,345035625,8502,4,22016
1002511057,133065067,957188283,10603,4,22016
1004359091,167299379,507080554,2328,4,7148
1004359091,842084194,201575121,14016,4,14972
1004359091,516874861,920144385,23257,4,18516
1004359091,359254475,768397906,6575,4,18516
1004359091,610575890,586865800,12639,4,15336
1004581751,122690186,397496455,4899,4,23438
1004581751,882735870,204814797,9936,4,13560
1004581751,966422658,102596927,170,4,7330
1004581751,996114780,584666334,3138,4,13560
1004581751,323806146,65376749,1138,4,13560
1006741093,944604070,302314054,5303,4,19936
1006741093,275705496,617573707,7330,4,10224
1006741093,29581561,880370803,1088,4,11072
1006741093,607199683,867490130,512,4,19936
1006741093,586908704,308762933,2170,4,11072
1010850689,745511566,803812630,3314,4,16384
1010850689,642074799,680501749,2064,4,16384
1010850689,673796817,121979956,2764,4,9408
1010850689,185029911,348663576,3519,4,16384
1010850689,188256209,930496665,3142,4,16384
1010930743,726489095,639489978,4361,4,16592
1010930743,787123319,882373470,11401,4,13568
1010930743,443144461,1009153737,3699,4,13568
1010930743,933791450,964580450,2634,4,16592
1010930743,449271459,442270815,6601,4,16592
1014188569,87717935,351295807,2816,4,21344
1014188569,232309201,489052304,14,4,21344
1014188569,49160555,183692511,395,4,21344
1014188569,907764767,608305646,18296,4,21344
1014188569,140841343,671747322,1192,4,6816
1014602773,699416327,582455887,117,4,11032
1014602773,598723455,356384502,11773,4,16088
1014602773,648903139,856127916,9568,4,16088
1014602773,913080561,460017823,5857,4,11032
1014602773,496559276,455910275,1976,4,11032
1019447197,46918843,159926056,715,4,19868
1019447197,406481994,178319045,5156,4,28464
1019447197,509780271,93480439,8843,4,28464
1019447197,203484825,93157141,1556,4,19868
1019447197,883266408,215243671,1223,4,19868
1026067699,108944015,567955662,6289,4,27792
1026067699,266190824,435384361,3389,4,3342
1026067699,741207385,116313668,634,4,13640
1026067699,316061002,1006111874,1829,4,13640
1026067699,129645040,485667565,5312,4,15460
1027271863,769041327,542807205,4949,4,32976
1027271863,716201989,965059868,197,4,32976
1027271863,304402142,867953325,1383,4,32976
1027271863,364139392,133318675,1265,4,32976
