prime,A,x0,trials,param_a_count,class_number
10049982713,7454092391,1564959776,28323,3,62048
10049982713,2658220787,1733778847,7113,3,32400
10049982713,5244763523,8785932092,1717,3,62048
10049982713,4681140471,3418151252,10875,3,32400
10049982713,7626458096,9515396758,10145,3,32400
10055886623,7178889704,2664707195,6967,3,44569
10055886623,9091228578,9563376416,25076,3,57444
10055886623,536621979,7376534784,2429,3,57444
10055886623,2471956778,5103397368,3298,3,31162
10055886623,6597009381,7316645049,12244,3,57444
10083588077,6177949710,7282859485,31521,3,97312
10083588077,7458561981,4126406068,60498,3,32758
10083588077,4102653218,1021689721,5261,3,97312
10083588077,7032855643,7048739220,48111,3,97312
10083588077,7329177648,1625467837,1700,3,97312
10097512717,6392511396,7536620226,10744,3,100740
10097512717,1714547030,5834500693,32064,3,30136
10097512717,5249919109,761242348,22956,3,100740
10097512717,3600223441,6556796629,24824,3,100740
10097512717,549644146,8117355739,12203,3,35088
10108489511,3092803302,1921632023,16232,3,138369
10108489511,5085898307,4476559810,32585,3,38568
10108489511,4843476478,4790245272,3451,3,138369
10108489511,8776698050,2607514253,38145,3,138369
10108489511,2113181435,4521841138,11879,3,138369
10130812079,3446420482,8708755952,9404,3,71520
10130812079,588764064,9015347152,33632,3,71520
10130812079,2646828273,3419847920,11338,3,71520
10130812079,2577985012,7153330185,10257,3,71520
10130812079,2933494984,8360918428,42316,3,71520
10133438411,942200105,3207490505,7313,3,46204
10133438411,8879677184,6266748596,477,3,34280
10133438411,1602840989,1491261057,24011,3,89332
10133438411,2475087366,4963210013,3871,3,34280
10133438411,896383175,9481685827,1526,3,34280
10148716561,6829679642,1200810304,7344,3,64640
10148716561,1830363148,6248951518,1361,3,64640
10148716561,9915124899,5628346067,58280,3,32448
10148716561,3214948541,6983096071,6298,3,25344
10148716561,4151122915,5257666343,12728,3,64640
10168893373,6633913504,7447801679,9420,4,46624
10168893373,6899965140,4056301673,3939,4,58752
10168893373,4691417102,7192625583,19993,4,58752
10168893373,4499873135,826147531,2063,4,58752
10168893373,3069329140,9018386860,10436,4,46624
10176962699,10008429932,4860594464,14622,3,90424
10176962699,9104493901,5905416285,4472,3,39712
10176962699,8401801346,7832293156,22978,3,90424
10176962699,6043483520,6633620778,1741,3,39712
10176962699,7570135038,4271757437,12504,3,39712
10234819421,4231464177,53635764,5979,4,26496
10234819421,5211772666,3044977030,2576,4,56576
10234819421,5748129976,1343193239,36206,4,26496
10234819421,1962523590,609176984,27035,4,26496
10234819421,6880748520,9377565036,34249,4,56576
10270406743,3041838433,3450753554,3396,3,43544
10270406743,7807089024,9232825607,462,3,50944
10270406743,6650007521,5204246175,67120,3,42240
10270406743,8877453567,7297289660,6144,3,43544
10270406743,5972972624,710895244,36685,3,43544
10326079369,8140637095,5417256475,11338,3,69504
10326079369,2509098692,9584185349,19840,3,69504
10326079369,7627534370,8018088315,39353,3,30816
10326079369,7652981321,3177931695,19280,3,69504
10326079369,8126402177,10268823347,7402,3,28640
10330712963,5201129348,4373814791,12093,3,54130
10330712963,7840244051,6877649392,852,3,42306
10330712963,4315824750,7355618667,49271,3,42306
10330712963,8399900903,4755702761,6800,3,42306
10330712963,6634902169,3232990096,8209,3,54130
10347962279,8624761052,9106273648,2773,3,22680
10347962279,1145475706,830696926,29902,3,45496
10347962279,2049038347,1856172926,2298,3,45496
10347962279,10299653115,9307972132,7486,3,22680
10347962279,7551977574,1320932535,5834,3,45496
10369427843,8335704258,3960608138,18639,4,71290
