prime,A,x0,trials,param_a_count,class_number
10009963,3847609,2115415,398,3,1424
10009963,2352403,7309161,763,3,1424
10009963,363299,7121478,226,3,1756
10009963,270983,6845213,667,3,2204
10009963,1810257,4037692,2369,3,1424
10009963,3535982,2752813,617,3,2204
10009963,235102,4909817,300,3,1424
10009963,3346367,4395697,248,3,1424
10009963,9742350,9689887,90,3,2204
10009963,5584028,1097716,344,3,1424
10009963,8635219,5565656,1076,3,1424
10009963,2638302,649247,1102,3,1424
10009963,7703178,4383736,734,3,1424
10009963,6171168,9628089,756,3,2204
10009963,3869767,224616,1893,3,2204
10009963,7791466,71915,900,3,1424
10009963,7685251,3811478,974,3,1424
10009963,7288266,8564217,214,3,2204
10009963,2319218,8065629,506,3,1424
10009963,2961249,748159,22,3,1424
10012087,2460849,4803558,662,3,1536
10012087,1766944,7619120,167,3,1536
10012087,5977753,1860910,144,3,1008
10012087,5348493,7007041,924,3,1536
10012087,3377626,3319557,32,3,1536
10012087,1791985,1169555,193,3,1008
10012087,7455518,106928,1022,3,1536
10012087,1016814,9222365,1699,3,1494
10012087,1509275,8072012,183,3,1494
10012087,4243102,1019584,1605,3,1494
10012087,9287617,9282115,803,3,1494
10012087,8612780,2669824,694,3,1536
10012087,3855188,7480617,301,3,1494
10012087,6415436,4227328,998,3,1536
10012087,5599210,9441120,775,3,1494
10012087,8808116,3256952,618,3,1536
10012087,1084975,1363662,773,3,1536
10012087,2885936,5895467,194,3,1536
10012087,5329404,7905792,1014,3,1008
10012087,8182150,9662066,1202,3,1008
10025933,2902227,5817042,1388,3,3012
10025933,8113774,8761943,186,3,3012
10025933,4051057,760464,39,3,3012
10025933,7752067,4831366,176,3,3012
10025933,3884143,7139890,1004,3,590
10025933,8303648,7766436,185,3,3012
10025933,8912535,1400401,53,3,1280
10025933,6902498,4241408,178,3,3012
10025933,8447157,8257757,81,3,3012
10025933,7330420,9187447,603,3,3012
10025933,6712974,8559151,272,3,3012
10025933,8498126,3941778,735,3,3012
10025933,3164765,1710239,724,3,3012
10025933,3673837,3751447,385,3,3012
10025933,9623022,6150585,1764,3,3012
10025933,839323,4016382,1290,3,3012
10025933,1186356,1664942,439,3,3012
10025933,9611565,5939698,2751,3,1280
10025933,4543860,8677441,858,3,3012
10025933,5395625,6732029,375,3,3012
10034231,3887506,5182210,953,3,2148
10034231,1106920,582259,1692,3,2148
10034231,7574715,2159411,640,3,2148
10034231,9025295,7131983,191,3,1576
10034231,5885940,739950,1091,3,2148
10034231,5669960,5194032,768,3,2148
10034231,3968824,4794077,2323,3,2148
10034231,8474715,7554093,160,3,2148
10034231,2076885,665102,1156,3,2148
10034231,3737531,7758817,920,3,2148
10034231,3856000,6397556,147,3,2148
10034231,7770524,2439068,144,3,2148
10034231,7880003,9426978,153,3,2148
10034231,7703375,8718838,14,3,2148
10034231,8828688,9865490,1128,3,2148
10034231,6906743,1481219,274,3,1576
10034231,6620261,2401780,231,3,2148
10034231,9319416,2981703,569,3,1576
10034231,187694,2736649,343,3,1576
10034231,485609,4014744,553,3,2148
10047047,5791550,5452212,1031,3,2338
10047047,7658644,7473674,218,3,2338
10047047,98438,1791858,211,3,2338
10047047,6647374,145030,769,3,2338
10047047,9944694,4208626,550,3,2338
10047047,3732272,4150643,141,3,2338
10047047,8879949,1126391,987,3,2338
10047047,8203455,3943653,507,3,1120
10047047,3084501,8895010,153,3,2338
10047047,5548905,6781565,1035,3,2338
10047047,7884496,2544043,423,3,2338
10047047,8889460,856576,148,3,1062
10047047,5156231,1907745,389,3,1120
10047047,1744774,319316,654,3,2338
10047047,4764305,1675332,465,3,2338
10047047,9756221,4363889,111,3,1120
10047047,3975176,3483915,237,3,2338
10047047,5095812,9054527,155,3,2338
10047047,8816364,1588028,122,3,2338
10047047,2827888,4187251,1618,3,2338
10061119,4206422,6386252,275,3,1824
10061119,6153292,302517,812,3,1824
10061119,4073972,7224452,579,3,1824
10061119,9863555,1290949,857,3,1824
10061119,7743368,2903328,238,3,1584
10061119,6127480,3940109,413,3,1198
10061119,6695991,1105095,474,3,1584
10061119,9160963,1023864,60,3,1824
10061119,4445763,1948812,119,3,1824
10061119,5541428,8157923,1299,3,1824
10061119,9400672,6118959,666,3,1824
10061119,163017,4686621,826,3,1584
10061119,3188623,5112910,285,3,1824
10061119,7902207,5044896,55,3,1584
10061119,3940724,9949320,519,3,1584
10061119,8381656,5442932,1340,3,1584
10061119,322984,4091799,40,3,1584
10061119,3289804,2166010,834,3,1584
10061119,508211,6087620,1430,3,1198
10061119,7720055,8233836,201,3,1584
10071913,2243855,3165809,624,3,1440
10071913,9297927,8110995,618,3,1440
10071913,5876609,4767116,462,3,1440
10071913,9305822,5577635,147,3,1440
10071913,3219204,727575,576,3,1664
10071913,9393226,5529815,611,3,1440
10071913,667597,3591518,604,3,1440
10071913,9153735,2860548,344,3,1664
10071913,9956721,7901986,223,3,1664
10071913,9922375,5510151,1474,3,1664
10071913,4653621,2520868,684,3,1440
10071913,4566936,1832338,450,3,1440
10071913,3072030,7669787,172,3,1440
10071913,4155390,4604458,508,3,844
