prime,A,x0,trials
1001629,827367,225703,658
1001629,185512,968186,3304
1001629,595577,30812,11816
1001629,736459,444551,2296
1001629,271259,551927,2674
1003109,557584,728831,1806
1003109,321777,787006,952
1003109,441218,464848,1296
1003109,981956,653064,272
1003109,140302,492039,686
1006769,366929,206501,616
1006769,785193,952027,504
1006769,349580,74527,350
1006769,411121,106312,364
1006769,829612,990686,672
1006883,646873,829785,238
1006883,574733,863457,168
1006883,62888,110751,84
1006883,1002846,430721,37
1006883,910315,72911,103
1009159,1006148,492861,588
1009159,390293,923592,1274
1009159,539787,891939,375
1009159,50519,376317,395
1009159,832736,874621,420
1009193,834949,952032,938
1009193,849182,983553,826
1009193,710789,290239,266
1009193,747590,228125,1249
1009193,448834,758270,1005
1012481,42422,923569,644
1012481,248860,986177,476
1012481,961734,373499,770
1012481,314115,333031,1649
1012481,970514,197192,1109
1016497,276427,406731,1176
1016497,902157,123416,1176
1016497,391402,779911,1973
1016497,276689,90719,743
1016497,281057,165082,420
1019357,553079,91774,2828
1019357,383495,220224,266
1019357,714951,498426,1148
1019357,549941,625887,848
1019357,49164,590101,1462
1020683,342676,890539,2842
1020683,95125,978303,406
1020683,817174,943998,2335
1020683,252124,687668,353
1020683,336979,679636,1232
1021429,532981,190311,1554
1021429,338748,775264,1612
1021429,995133,469698,166
1021429,503317,350749,56
1021429,588160,277632,602
1021907,731452,397658,10402
1021907,262317,697461,490
1021907,870662,150337,1341
1021907,816500,203496,1193
1021907,363281,601519,1414
1022611,849197,724553,1484
1022611,872045,311900,1498
1022611,965382,768757,724
1022611,541859,373817,186
1022611,731882,748359,938
1023313,387791,392734,2296
1023313,870881,769589,3038
1023313,638959,789819,350
1023313,726472,508125,475
1023313,298675,945766,1569
1024379,448406,682546,1540
1024379,858366,204634,308
1024379,798834,990005,276
1024379,884423,331005,424
1024379,156833,192819,98
1026761,577120,523054,7112
1026761,570336,758733,3212
1026761,422000,348993,36
1026761,802765,143447,672
1026761,30995,888003,2856
1027853,65412,314425,7084
1027853,175806,754976,4550
1027853,576853,633455,728
1027853,269953,593928,2744
1027853,1023110,551305,2379
1028597,185184,399023,798
1028597,441013,1027059,1246
1028597,448450,850680,2935
1028597,183174,475714,159
1028597,452550,294469,2044
1028843,211832,1005499,2954
1028843,649209,276440,140
1028843,324494,280872,4348
1028843,855935,888740,1994
1028843,1027507,422964,966
1033007,798696,998760,1400
1033007,24082,498333,420
1033007,350964,412688,1255
1033007,240971,302296,565
1033007,133836,438165,392
1033421,144559,1015157,1190
1033421,25895,950941,622
1033421,654165,873990,232
1033421,641809,231028,308
1033421,749999,579748,210
1033663,679415,220840,756
1033663,397364,839823,630
1033663,828598,902979,252
1033663,775106,276395,364
1033663,590360,592909,1005
1035649,876238,168039,1708
1035649,65578,864956,392
1035649,628994,761898,1368
1035649,462864,141735,298
1035649,561677,522347,714
1036271,945664,470100,5054
1036271,89357,584891,1092
1036271,26252,780678,1092
1036271,251597,656634,357
1036271,220504,18103,2191
1037303,442541,719287,336
1037303,879414,125182,658
1037303,581729,778435,1471
1037303,406579,331316,251
1037303,119328,440045,574
1039033,938987,144978,2170
1039033,552139,106333,924
1039033,906675,33713,2310
1039033,583181,342627,409
1039033,873282,367411,1453
1040159,818636,863493,1456
1040159,852779,1016558,588
1040159,679368,799854,1260
1040159,1025555,932569,2421
1040159,557933,127332,1667
1043839,282278,302371,2100
1043839,1021829,645481,1106
1043839,1042682,158195,615
1043839,616028,271584,995
1043839,541099,394593,28
1046413,902790,504786,868
1046413,321034,447406,1806
1046413,817930,660657,266
1046413,402914,47858,3264
1046413,1029776,578984,1608
1047229,991371,547132,1162
1047229,788162,132170,1624
1047229,991371,1017559,1861
1047229,423833,31763,1331
1047229,423833,10820,0
1053259,925879,1008622,602
1053259,199428,311711,1876
1053259,150593,712370,98
1053259,466863,783280,625
1053259,150593,578695,999
1054483,516631,831330,3682
1054483,362011,960940,252
1054483,802888,177242,532
1054483,520603,619402,1629
1054483,1034003,232819,2053
1054853,40532,452976,1008
1054853,1010202,979020,546
1054853,327668,805081,362
1054853,741058,489725,86
1054853,444438,728561,588
1055143,804166,393606,910
1055143,836323,332238,56
1055143,609406,1048532,56
1055143,72119,775747,420
1055143,727693,160603,85
1055531,360838,505637,1890
1055531,561242,412864,994
1055531,883089,1012068,1848
1055531,1046159,1053697,1544
1055531,200190,557556,2334
1056089,70942,911167,980
1056089,191470,656538,112
1056089,558941,1047815,182
1056089,451636,917728,562
1056089,146115,158417,264
1058077,643111,1011638,364
1058077,355698,581754,1526
1058077,374652,755718,42
1058077,299011,1043504,1735
1058077,544917,562373,1107
1058153,534813,359079,1372
1058153,356022,982034,196
1058153,743695,465253,1008
1058153,151923,948042,109
1058153,167976,213978,745
1061969,14420,448045,8344
1061969,105750,218218,518
1061969,1053003,54586,1232
1061969,188235,548431,3402
1061969,177452,408700,58
1066313,686650,538079,1694
1066313,220551,44904,252
1066313,678761,576317,14
1066313,772767,796572,572
1066313,816263,174809,422
1066811,829020,628323,3122
1066811,441748,787399,4886
1066811,614203,1023356,112
1066811,475663,653146,4417
1066811,70394,178827,2107
1067387,62341,719874,112
1067387,52406,682611,406
1067387,426388,829353,560
1067387,800430,593825,370
1067387,460288,57804,204
1068107,703301,6531,308
1068107,425317,391392,56
1068107,698491,158536,504
1068107,208288,60604,1522
1068107,533346,46759,410
1074901,205081,329124,720
1074901,585929,735838,36
1074901,80112,154065,98
1074901,626365,814452,56
1074901,619002,307219,14
1074991,494848,522741,532
1074991,287452,941274,602
1074991,880488,927285,1554
1074991,724765,66222,460
1074991,123307,867999,730
1076717,719817,151980,2338
1076717,25975,681082,3024
1076717,41226,605988,2744
1076717,340984,914152,40
1076717,223736,383738,1850
1079821,916972,495932,6090
1079821,84213,468673,294
1079821,416298,417353,553
1079821,584686,48348,903
1079821,63386,1054968,616
1080433,180733,324869,826
1080433,164395,23844,1750
1080433,834521,730280,2856
1080433,839859,931657,759
1080433,872589,357008,1719
1082603,353675,800622,1386
1082603,109817,158734,658
1082603,449039,447835,2752
1082603,326991,726435,790
1082603,1003053,167454,518
1084793,73046,982318,7112
1084793,561672,149852,1260
1084793,874475,857614,2940
1084793,540427,647964,1470
1084793,457391,433512,616
1086809,386040,960447,3948
1086809,1008989,811894,2258
1086809,20007,72868,836
1086809,902563,63944,448
1086809,710042,891512,294
1088309,745572,762205,630
1088309,159519,1004909,238
1088309,142859,811433,42
1088309,70418,736936,350
1088309,180051,242180,56
1089469,768700,597905,2744
1089469,128180,386304,1918
1089469,373315,273067,1051
1089469,821413,1046272,545
1089469,764171,260713,784
1092269,903620,381174,1232
1092269,1045460,32259,518
1092269,698868,356442,434
1092269,1058408,188389,2006
1092269,117748,940521,1144
1093109,294788,275446,2734
1093109,554848,848537,150
1093109,363131,595699,182
1093109,824304,716605,280
1093109,853749,1034010,224
1094183,7394,191905,1260
1094183,203525,484175,700
1094183,95304,103043,322
1094183,828850,967588,707
1094183,196507,1995,371
1095071,405848,979723,406
1095071,933481,97718,1484
1095071,762759,137610,196
1095071,777003,503226,84
1095071,307982,461483,616
1099717,245178,67689,658
1099717,434569,465255,4148
1099717,1026918,351579,598
1099717,774856,1056772,14
1099717,204447,640985,406
1100977,1079464,236809,2870
1100977,516521,847705,2884
1100977,486414,910833,409
1100977,211990,158820,165
1100977,291228,935091,924
1102823,188584,543469,448
1102823,602266,80919,266
1102823,654122,30148,1840
1102823,279828,565855,596
1102823,744669,539819,84
1104427,73170,916699,238
1104427,853686,960409,154
1104427,105327,915767,672
1104427,596366,614436,364
1104427,778030,763041,1028
1104589,732531,453438,154
1104589,1049840,523954,462
1104589,390151,776850,391
