prime,A,x0,trials
8720181553,3840717124,7644374158,7974
8720181553,8152702001,8511126224,73966
8720181553,3436040960,1774924213,8923
8720181553,4938837127,4282174384,27145
8720181553,1565847069,5170627055,13630
8720181553,5694014906,3247001585,210
8720181553,7537768809,831398627,3412
8720181553,7211927997,2870449317,27908
8720181553,8204433758,4921800209,13537
8720181553,3799624806,7087531175,53912
8745482797,260098136,3816772962,20042
8745482797,2182272965,5190575,25103
8745482797,8656725485,5680939126,7660
8745482797,7680849746,2736956077,1045
8745482797,2912198380,5023350465,11188
8745482797,1199314571,7813028158,16989
8745482797,7129576369,3497098049,659
8745482797,2733220086,2792544814,8945
8745482797,1091997274,1273846553,3069
8745482797,3810112992,2584272980,4199
8812063327,3736088583,1116718562,17765
8812063327,450398162,6329030209,16097
8812063327,8035306217,6205762484,11103
8812063327,3208657918,1262364800,7873
8812063327,5356280252,1721612708,6412
8812063327,8057281677,3326685232,2661
8812063327,7753874694,1548405124,23636
8812063327,4344706336,3898823743,5880
8812063327,3257036351,6130166158,2972
8812063327,221604332,3969857614,2574
