prime,A,x0,trials,param_a_count,param_b_avg
1151,872,44,2,3.0,37.64
1151,173,502,1,3.0,37.64
1151,96,670,9,3.0,37.64
1151,6,666,4,3.0,37.64
1151,711,278,7,3.0,37.64
1151,750,1026,4,3.0,37.64
1151,1143,120,3,3.0,37.64
1151,757,788,33,3.0,37.64
1151,601,776,2,3.0,37.64
1151,449,899,22,3.0,37.64
1153,867,181,9,3.0,37.2
1153,298,356,2,3.0,37.2
1153,89,829,22,3.0,37.2
1153,312,1073,3,3.0,37.2
1153,858,721,3,3.0,37.2
1153,237,142,6,3.0,37.2
1153,626,1017,15,3.0,37.2
1153,403,477,10,3.0,37.2
1153,77,1122,11,3.0,37.2
1153,798,382,3,3.0,37.2
1163,778,184,1,2.0,55.64
1163,370,937,2,2.0,55.64
1163,862,553,3,2.0,55.64
1163,54,189,2,2.0,55.64
1163,865,39,6,2.0,55.64
1163,26,135,5,2.0,55.64
1163,220,993,1,2.0,55.64
1163,633,1126,2,2.0,55.64
1163,993,80,1,2.0,55.64
1163,608,671,16,2.0,55.64
