prime,A,x0,trials
1021737180949,722227402329,836668263876,319023
1021737180949,371311701655,345560460406,122867
1021737180949,110432634932,714748537739,36895
1021737180949,961302058780,124963634351,587980
1021737180949,619867450683,828603164901,54322
1021737180949,419458434409,169062131721,99457
1021737180949,558937912677,660546259999,3498
1021737180949,190865463367,677170742104,30341
1021737180949,427982479555,471120179197,90617
1021737180949,488300955003,498598161998,83176
1042505371289,99963399128,1036448327898,17887
1042505371289,460724376826,968709476847,70164
1042505371289,156685616449,756630173223,7428
1042505371289,878020929455,459295982052,120881
1042505371289,18059285271,368498708086,298665
1042505371289,196072482612,790297870707,54014
1042505371289,161589527316,861238529520,157681
1042505371289,947014121574,511480225931,98399
1042505371289,749596997047,180478043045,54195
1042505371289,757080134968,1032120391634,114694
1063739518249,860446112952,568712617071,48815
1063739518249,341510113156,216866688140,139890
1063739518249,573899570687,757719962791,410182
1063739518249,275670695364,472061800641,41095
1063739518249,675212153635,910576762062,83900
1063739518249,700222981142,368339759752,29839
1063739518249,120201725160,669915269489,40572
1063739518249,22983966719,876240648642,145877
1063739518249,576512233729,587824383325,387651
1063739518249,832576654927,930755979628,289643
