prime,A,x0,trials,param_a_count,param_b_avg
15269,2731,10912,18,2.0,206.62
15269,5367,1859,12,2.0,206.62
15269,10105,10655,38,2.0,206.62
15269,463,5927,8,2.0,206.62
15269,7607,5834,43,2.0,206.62
15269,6520,10880,7,2.0,206.62
15269,10899,320,1,2.0,206.62
15269,5958,1163,5,2.0,206.62
15269,8423,5519,7,2.0,206.62
15269,76,6809,14,2.0,206.62
15359,12147,2212,33,1.0,247.86
15359,2321,6539,15,1.0,247.86
15359,4543,12473,29,1.0,247.86
15359,14070,6188,49,1.0,247.86
15359,3308,1729,160,1.0,247.86
15359,9787,6301,7,1.0,247.86
15359,5974,12994,27,1.0,247.86
15359,9936,13750,52,1.0,247.86
15359,14734,1978,68,1.0,247.86
15359,6,508,100,1.0,247.86
15497,11055,7681,12,2.0,213.23
15497,8828,6451,38,2.0,213.23
15497,14123,9703,21,2.0,213.23
15497,6008,15024,21,2.0,213.23
15497,9126,7906,4,2.0,213.23
15497,9489,4420,63,2.0,213.23
15497,4562,15283,6,2.0,213.23
15497,13130,12105,37,2.0,213.23
15497,3377,183,24,2.0,213.23
15497,3977,13515,27,2.0,213.23
