Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000-11000,1,10267,10477,10691
11001-12101,2,11093,11287,11383
12102-13312,3,12569,12953,13219
13313-14644,4,14071,14087,14243
14645-16109,5,15269,15359,15497
16110-17721,6,16603,16759,16889
17722-19494,7,17909,18919,19267
19495-21444,8,20023,20201,20249
21445-23589,9,23339,23537,23557
23590-25949,10,24077,24659,25873
25950-28545,11,26297,27631,27947
28546-31400,12,28949,30091,30133
31401-34541,13,32069,32933,33013
34542-37996,14,35051,36497,36563
37997-41796,15,38971,39541,40009
41797-45976,16,44497,45481,45863
45977-50574,17,46183,46457,50387
50575-55632,18,50777,53093,54709
55633-61196,19,56333,59791,60899
61197-67316,20,61609,63113,65519
67317-74048,21,69697,70663,71593
74049-81453,22,74311,77317,80923
81454-89599,23,85439,85847,86131
89600-98560,24,92119,94207,97177
98561-99999,25,98621,99707,99971
