Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000-11000,1,10039,10159,10501
11001-12101,2,11321,11833,12073
12102-13312,3,12281,12601,12647
13313-14644,4,13381,13577,14197
14645-16109,5,15193,15497,15923
16110-17721,6,16493,16573,16823
17722-19494,7,18223,18679,19259
19495-21444,8,19991,20341,20719
21445-23589,9,21881,22543,23201
23590-25949,10,23957,23977,24379
25950-28545,11,26171,27901,28409
28546-31400,12,28657,29021,29453
31401-34541,13,33049,34031,34211
34542-37996,14,35291,35999,36979
37997-41796,15,38707,39667,41641
41797-45976,16,42101,43051,44729
45977-50574,17,47797,49807,50263
50575-55632,18,53147,53617,55399
55633-61196,19,55639,56437,57641
61197-67316,20,63029,63493,66733
67317-74048,21,68749,71699,72461
74049-81453,22,75209,78583,80077
81454-89599,23,85517,88117,88937
89600-98560,24,93377,95383,98009
98561-99999,25,99713,99859,99907
