prime,A,x0,time_seconds
4949905957,1497372995,3643499664,0.363532
7276312261,6038256753,3360086589,0.562532
8005451473,263754022,1894862135,0.316985
2705242231,1384647838,485908159,0.343262
5044253519,3494979317,1372316516,0.250141
3753609617,2541474178,3566289022,0.452583
4742266619,900004781,3913952143,0.190301
6145552471,1805881970,4250327537,0.014497
3402780967,2470888209,959930997,0.587391
8436627317,6742083359,8413858577,0.371849
7050160837,356284032,3439016450,0.211487
3618260543,2388778480,316828723,0.165153
8871058367,7226078110,200601725,0.770407
8809650583,3411993531,1178242511,1.028718
4542674111,806442547,1797014102,1.555616
4746361831,1011007889,1972031642,0.348452
4307606291,2324080940,3970302291,0.549977
3947460079,1462159527,3213744922,0.098653
7171690109,186158636,5774825530,0.883329
7253183159,5014443227,7232128466,0.296564
5703685979,501028827,921422422,0.106928
4277728159,3620109056,3535534180,0.546868
9425259881,103104585,5886688415,0.495107
7948975591,6937322712,1158994349,0.317720
8536441261,1103966245,3833751741,1.415201
2042710519,1513195488,1365228211,0.061811
6278006557,2736712150,2531957598,0.102014
6703927957,4938638612,5191214340,0.651190
5999155391,3711548913,412349016,0.170861
3110816353,101886000,1920198753,0.144237
4612200017,1198403007,2115883866,0.480794
4572460609,4506067395,736923303,1.875929
6059536603,367753043,496372687,0.038095
9269408741,7992015289,44683036,0.424708
2694897773,1034257204,618123906,0.005141
8644917997,3824921556,5689564450,0.194368
7956436493,1180381975,4882144308,0.133393
1702975537,954155247,157880057,0.268992
8923422701,8774096959,6898972667,0.453238
2344367407,287406231,1287654151,0.152768
4551668993,2729586283,1707263321,0.280231
2179978237,150973486,761238828,0.144234
4341273733,2354326268,829989726,2.135339
2861321747,1253767542,1047476957,0.067544
3207330757,346548722,2753672146,0.386664
2472191899,1519435572,2435567123,0.529350
3893796923,829915874,66010050,0.030955
4628261837,774826188,3036346504,0.454045
1825513111,22191788,1239081722,0.091783
2164265231,1333521075,348220502,0.079189
9192942191,3143386636,6653480634,0.280706
4995485977,4272069505,2297464270,0.129147
6689822501,1785614052,1748651951,0.488369
9396107041,8728942971,519462199,0.104911
1607666321,1154285661,973033969,0.082853
4926849937,3670049498,3835517676,0.097529
8875757791,434689529,1693907894,0.072948
4468325327,951651712,2467438387,1.091514
5734544741,807127046,1746408733,0.161257
4111577251,1605527538,2991372298,0.102534
2494563691,344138400,1595904986,0.237511
9509679019,4249855001,736326708,0.908332
5467757341,4933340551,2257283081,0.225480
5191816963,1077874014,2540744954,0.042087
3433076093,1816262627,3116649682,1.657473
9672219209,4800374636,3432336451,0.207094
1215733199,1144241053,214710933,0.160992
5684116993,4417927279,4728922348,1.363275
2256612887,1959516112,828640667,0.000724
9525878161,3179256103,4356025114,0.090228
6107033021,5958505218,3595820067,0.308104
4575099713,3773101825,830350309,3.062128
7343544907,4102217374,2850393178,0.432963
5834969953,5471496518,5715478161,2.612126
4940574091,2214464955,317951296,0.064282
4129062713,3040578240,1840245338,0.827661
4338210893,3785582938,219841113,0.174065
4825735907,450050406,1962620877,0.376073
1629384683,1547518334,1011482538,0.399436
1730386003,230278365,733454016,0.120115
9449248187,3986397551,4345107810,0.323952
2528199763,1451287809,2424168723,0.073043
3485866271,3190667520,643751108,0.464100
4557111883,3940434224,1341534489,0.996226
9846884543,4423401675,825667651,0.207074
1880091977,1751292345,445617692,0.332329
9218383753,648178146,2754753039,0.683587
9879658721,1230037245,393674815,0.200680
7931738021,2546796583,1880030074,0.144237
4146072503,1636018246,1099705737,0.036893
6746207749,1309289967,4622010716,0.704954
7414747243,3881902941,5377819228,0.214734
2215718129,1230565189,2024063439,0.102173
7143293099,2542302614,2511246090,0.010374
3936145259,3495793514,3267777951,0.119493
3702447209,261656649,1544377976,0.121905
6430653617,2556119971,5292391958,0.616181
3012312887,1072386584,874481812,0.409107
4725372871,4280622230,1962756143,0.351259
5952911551,71061040,5516782121,0.890908
