prime,A,x0,trials
6571,6318,2992,62
124489,112830,94509,34
370423,297763,43041,178
373,288,28,10
881,130,704,298
290141,165818,86885,281
2083,1599,337,30
1033,736,656,16
39703,17347,3211,238
277,18,26,25
185077,19850,100555,68
8933,779,695,99
52889,42198,23958,319
487733,183824,429407,23
151,103,135,2
2713,313,431,102
743251,660734,648120,209
695743,69228,76800,249
331,18,106,91
309371,260580,300121,559
8963,6550,1704,25
96199,10564,31139,100
137,97,11,2
91331,22403,11137,122
887,665,208,38
51941,47270,4396,386
379,278,147,10
47317,42843,8517,231
767831,364320,403930,84
389297,357265,189317,71
521,378,71,3
821,499,343,1
51991,20313,14211,16
32531,8334,7093,309
59809,18711,52612,212
653,569,75,84
9431,1179,1933,19
521,378,71,3
692117,173789,460257,388
181,116,120,1
883,265,406,10
307,268,296,4
3929,294,585,42
65539,49959,59820,189
787,131,418,6
52583,34776,514,65
933707,286177,62005,814
1447,24,282,10
609233,179362,88930,30
619,478,279,11
191,FAILED,FAILED,FAILED
6581,6509,2738,49
383,63,59,53
20123,7624,13782,152
133813,78601,70747,963
769,746,565,22
3539,2654,948,56
631,259,222,1
359,70,120,7
81883,31774,78949,93
5099,4494,4487,94
6047,3166,5619,22
42557,27958,24586,297
4327,2176,2141,31
659,403,613,14
16477,10059,9940,140
4129,3460,3755,22
176413,91940,114460,80
6287,2005,5935,18
3539,2654,948,56
29327,11237,26752,74
733,376,439,6
4363,4331,764,2
751,225,270,26
52457,9818,46946,78
431173,176150,188276,348
8677,310,1739,63
850207,332629,557513,439
907,297,597,3
152533,56073,76824,3
69341,49686,55431,200
151,103,135,2
2767,2685,1601,102
141311,82381,46227,42
571,382,181,51
3803,3222,297,55
7459,357,6782,21
45673,13838,3743,14
7487,3951,3121,81
971,357,432,2
743,331,707,3
3259,1734,440,68
69767,3663,18738,19
3301,1363,131,72
887261,215778,633843,344
56267,54157,50011,194
68443,64811,29081,289
1009,271,294,25
643,21,461,3
569,276,381,42
4513,3402,2634,49
509,94,64,2
15401,11102,10452,53
997,248,985,20
10453,9499,1337,47
5059,2722,595,30
659,403,613,14
5381,2208,5279,27
337,181,200,24
33179,2160,13431,144
761,77,189,35
65449,6273,5356,75
757,742,404,25
503,205,462,1
6997,4282,3683,194
5849,3659,717,16
22031,8437,15337,58
39301,30883,11272,12
569,276,381,42
1039,966,589,5
263,30,44,18
3319,2165,2857,113
446179,286274,88358,1492
92143,58904,12944,220
3637,59,2525,156
601,315,71,14
127,FAILED,FAILED,FAILED
5099,4494,4487,94
991,485,625,7
317,133,229,3
6481,3334,1150,10
3229,1705,2386,34
157,3,23,13
229,186,205,11
170413,48615,153246,160
42737,3575,13182,150
823,812,580,38
8009,1060,1251,15
449,74,346,11
477557,283109,406646,518
5233,2198,2771,6
503,205,462,1
491,435,411,23
90901,17589,47253,136
8389,6311,6282,38
7873,5656,726,81
167,55,73,17
857,277,177,68
99223,54703,45771,75
9803,6064,7526,169
4813,936,4337,229
8389,6311,6282,38
101,62,35,70
1741,1334,1098,5
5431,4357,18,139
21757,2691,4277,127
667103,326016,195029,362
4463,3050,3026,211
2549,188,1340,65
91841,25066,72630,55
991,485,625,7
83177,24579,30112,98
877,697,482,7
10973,10710,8190,157
7129,3613,2598,56
276763,4043,44832,56
308027,4473,53333,56
40039,808,38159,34
2699,2621,2621,46
391403,116473,353159,680
5647,1587,4139,69
39229,81,25453,8
397,38,115,4
733,376,439,6
179,111,40,1
547,489,319,24
8941,5193,2024,36
6991,4107,3039,149
283,144,9,9
9277,3362,6511,11
353657,190032,197133,421
159931,82983,115775,19
79769,63800,62645,409
24371,21898,14414,56
37691,37293,23566,10
857,277,177,68
2039,646,1341,41
571,382,181,51
881,130,704,298
582209,34058,222988,388
2593,146,2539,37
982841,960527,604323,865
461,142,370,37
353,36,196,20
857,277,177,68
328043,19742,212648,646
2617,943,1760,31
227,74,202,32
929,838,41,30
82051,16110,74558,265
97649,65566,77951,179
3697,1607,1997,60
383,63,59,53
8501,1461,1547,146
761,77,189,35
467611,314197,270785,255
231943,131734,29329,306
131,88,16,8
479,203,120,3
229409,78888,39647,171
103079,82091,19804,198
877,697,482,7
347,118,132,28
821,499,343,1
797,775,196,27
212651,115521,209346,225
9551,5184,3669,11
220537,81478,141527,254
86323,79567,1414,8
433,343,391,6
7559,1639,1846,4
11839,7131,11653,111
6473,486,5072,293
719,427,577,10
641,199,511,21
823,812,580,38
20533,11756,7285,204
7789,5693,858,16
3449,314,1393,289
615289,311673,298896,32
387137,164548,225382,290
643,21,461,3
197293,70177,93207,23
350219,209902,66459,565
523,64,79,18
3461,923,648,182
9817,8534,9584,77
4201,3208,974,83
8527,6247,8071,68
887,665,208,38
577,215,540,65
613,307,484,13
5167,4660,1575,29
269,120,39,2
9161,3394,3429,65
691,33,68,27
419801,122396,244048,598
419,161,19,8
246787,202951,31338,3177
459607,181858,51049,665
5483,2296,4467,92
711259,500153,384085,200
47797,44628,32857,34
586973,380689,5355,997
633569,376147,433055,524
49169,16283,13248,65
5171,2050,3246,73
221059,8807,38336,89
58067,53726,55203,169
9151,4064,3918,72
811,788,335,7
2903,2651,2150,22
2063,553,682,14
925559,242778,102627,1704
967753,842638,788935,330
612181,543659,171536,298
11251,9399,2632,4
5153,3030,3333,60
535669,326663,136182,52
455557,264853,294991,1495
983,341,11,9
5669,4754,1054,30
953,511,395,15
571,382,181,51
773,689,234,4
2351,1728,850,3
487,80,184,1
2749,2565,2228,213
49741,8397,23701,254
75641,47705,17293,282
73363,41622,71438,123
57203,27859,4791,218
1051,143,1015,1
245071,139484,243477,5
79691,14786,74401,71
84347,67789,60076,121
2887,1076,2662,23
6833,4502,895,11
2803,490,2000,23
166183,26149,121657,19
811,788,335,7
359,70,120,7
4231,1991,362,224
631,259,222,1
3079,2310,4,255
409,127,258,2
641,199,511,21
5923,4069,2438,26
623977,536927,207690,118
5099,4494,4487,94
677,161,28,116
827,433,132,60
223,208,154,5
409,127,258,2
81293,47027,37967,151
344587,202825,96942,152
647,490,552,85
373,288,28,10
4013,621,2311,132
408127,424,354316,1848
475597,450718,293149,26
763307,247683,183430,79
373,288,28,10
127,FAILED,FAILED,FAILED
653,569,75,84
647,490,552,85
892603,719495,685850,6
218849,57675,72955,326
463,240,333,7
3931,803,3734,110
17047,5306,4183,132
7879,3077,3434,29
23981,17784,5564,150
619,478,279,11
56873,21976,47037,233
967,210,781,6
617,243,344,48
1321,438,881,100
89821,80955,3638,326
829,533,559,390
858251,507656,18988,1511
50087,19890,22137,7
247853,128841,190838,56
227,74,202,32
177323,71365,113757,100
56543,49561,37593,222
563,553,353,34
22669,16857,7934,270
3373,715,1598,159
75431,39200,65169,70
62201,57742,55097,509
794551,564873,346927,68
349,209,325,39
991,485,625,7
74761,18313,32198,702
1423,766,867,38
40283,16897,5223,131
90749,64465,23685,22
389,350,196,27
3719,2680,526,211
20789,11783,9811,64
479,203,120,3
4111,3856,1856,3
68711,18018,64975,114
140449,138591,60236,562
832151,606498,78138,212
1229,311,1160,26
2153,481,1270,23
433,343,391,6
167611,67395,19136,378
8389,6311,6282,38
72679,41610,5697,86
409,127,258,2
22639,21810,18443,24
1493,1363,864,58
885497,724485,222264,125
985057,423820,615590,2416
6367,5407,1022,1
641,199,511,21
677,161,28,116
661,511,169,36
263,30,44,18
7841,6300,3793,4
911,128,29,21
311,271,44,18
443879,331607,244827,847
79801,44339,42975,114
5077,3724,3844,16
26161,23994,13823,208
173,29,29,4
35447,13499,10182,337
2297,478,2238,27
619,478,279,11
4903,1027,3490,30
883,265,406,10
76837,47542,29457,665
6869,1307,3193,245
883,265,406,10
937,817,634,26
599,307,187,74
87877,49765,32414,458
106187,72057,69118,91
653,569,75,84
429211,46699,216928,155
62401,58992,59021,1416
53003,13036,24189,502
6547,1303,1025,4
761,77,189,35
9479,9191,6859,91
214883,80379,207988,109
