=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 10764.210731
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 12.04 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1000155847      | Original Mean y_bar:  5620.30 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1002511057      | Original Mean y_bar:  7759.90 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1004359091      | Original Mean y_bar:  4938.95 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1004581751      | Original Mean y_bar:  5819.30 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1006741093      | Original Mean y_bar:  3966.45 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1010850689      | Original Mean y_bar:  4306.40 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1010930743      | Original Mean y_bar:  4002.55 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1014188569      | Original Mean y_bar:  5379.15 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1014602773      | Original Mean y_bar:  8208.95 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1019447197      | Original Mean y_bar:  4063.85 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1026067699      | Original Mean y_bar:  3255.60 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1027271863      | Original Mean y_bar:  2589.85 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1030573073      | Original Mean y_bar:  4526.20 | Fitted Prob p_tilde: 0.000202 | Sample Size n: 20
Prime: 1032010873      | Original Mean y_bar: 10321.35 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1034870371      | Original Mean y_bar:  5722.55 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1039370261      | Original Mean y_bar:  8428.85 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1039636991      | Original Mean y_bar:  4785.85 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1039654513      | Original Mean y_bar:  5145.15 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1044862417      | Original Mean y_bar:  4925.80 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1046968049      | Original Mean y_bar:  5730.75 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1049911451      | Original Mean y_bar:  3107.40 | Fitted Prob p_tilde: 0.000166 | Sample Size n: 20
Prime: 1055217641      | Original Mean y_bar: 11106.55 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1055522957      | Original Mean y_bar: 13937.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1055600279      | Original Mean y_bar: 14084.35 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1057145581      | Original Mean y_bar: 21186.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1058824409      | Original Mean y_bar:  7729.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1058975191      | Original Mean y_bar:  7721.05 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1060848961      | Original Mean y_bar:  9798.15 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1064048917      | Original Mean y_bar:  2472.90 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1070832331      | Original Mean y_bar: 11005.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1076623711      | Original Mean y_bar: 17288.90 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1077263323      | Original Mean y_bar:  8393.05 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1078062409      | Original Mean y_bar:  5877.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1080294997      | Original Mean y_bar: 13677.15 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
