=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 8950.196898
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.89 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10049982713     | Original Mean y_bar: 27488.10 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10055886623     | Original Mean y_bar: 24491.90 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10083588077     | Original Mean y_bar: 15142.80 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10097512717     | Original Mean y_bar: 20390.20 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10108489511     | Original Mean y_bar: 15510.45 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10130812079     | Original Mean y_bar: 16241.45 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10133438411     | Original Mean y_bar: 17625.15 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10148716561     | Original Mean y_bar: 22295.80 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10168893373     | Original Mean y_bar: 13600.85 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10176962699     | Original Mean y_bar: 16816.00 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10234819421     | Original Mean y_bar: 26058.70 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10270406743     | Original Mean y_bar: 15647.80 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10326079369     | Original Mean y_bar: 31451.15 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10330712963     | Original Mean y_bar: 16302.10 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10347962279     | Original Mean y_bar: 13728.25 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10369427843     | Original Mean y_bar: 15711.55 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10412972723     | Original Mean y_bar: 17056.85 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10429366141     | Original Mean y_bar: 27743.65 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10449243293     | Original Mean y_bar: 29105.80 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10489891691     | Original Mean y_bar: 16587.80 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10524681967     | Original Mean y_bar: 13159.45 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10559015953     | Original Mean y_bar: 25291.60 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10628761333     | Original Mean y_bar: 18859.50 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10639639723     | Original Mean y_bar: 15820.05 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10651704251     | Original Mean y_bar: 16320.95 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10668920419     | Original Mean y_bar: 16947.30 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10685926577     | Original Mean y_bar: 13077.90 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10693813511     | Original Mean y_bar:  7217.50 | Fitted Prob p_tilde: 0.000053 | Sample Size n: 20
Prime: 10727186753     | Original Mean y_bar: 35317.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10729773427     | Original Mean y_bar: 30992.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10790584579     | Original Mean y_bar: 18368.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10800257297     | Original Mean y_bar: 13778.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10800402917     | Original Mean y_bar: 30574.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10819432307     | Original Mean y_bar: 30975.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10840446349     | Original Mean y_bar: 27710.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10866878219     | Original Mean y_bar:  9099.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10883387059     | Original Mean y_bar: 19414.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10931109199     | Original Mean y_bar: 13112.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10971031067     | Original Mean y_bar: 25934.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10972049563     | Original Mean y_bar: 15255.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10991556131     | Original Mean y_bar: 21064.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 10997519893     | Original Mean y_bar: 15597.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11010946981     | Original Mean y_bar: 16381.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11028051043     | Original Mean y_bar: 11758.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11029049177     | Original Mean y_bar: 15124.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11051755787     | Original Mean y_bar: 12103.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11055944401     | Original Mean y_bar: 24075.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11068557229     | Original Mean y_bar: 12868.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11082774413     | Original Mean y_bar: 16246.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11221990811     | Original Mean y_bar: 21092.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11226436031     | Original Mean y_bar:  9675.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11242473139     | Original Mean y_bar: 18866.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11302136141     | Original Mean y_bar: 26787.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11309356699     | Original Mean y_bar: 17611.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11318170411     | Original Mean y_bar: 20074.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11347847317     | Original Mean y_bar: 18455.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11379441209     | Original Mean y_bar: 44472.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11430387607     | Original Mean y_bar: 17721.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11433560767     | Original Mean y_bar: 13384.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11484217457     | Original Mean y_bar: 23988.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11492652533     | Original Mean y_bar: 32714.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11492652631     | Original Mean y_bar: 18071.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11540416817     | Original Mean y_bar: 20897.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11568908683     | Original Mean y_bar:  9621.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11595266321     | Original Mean y_bar: 12914.15 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11606556331     | Original Mean y_bar: 11624.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11651916929     | Original Mean y_bar: 22262.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11677006007     | Original Mean y_bar:  8529.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11707593461     | Original Mean y_bar: 18186.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11715943171     | Original Mean y_bar: 19389.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11798580721     | Original Mean y_bar: 20003.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11844211097     | Original Mean y_bar: 24879.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11887300939     | Original Mean y_bar: 16836.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11948527379     | Original Mean y_bar: 16012.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11960380697     | Original Mean y_bar: 38558.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 11982004613     | Original Mean y_bar: 12947.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12202611649     | Original Mean y_bar: 19184.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12220920329     | Original Mean y_bar: 35563.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12268103719     | Original Mean y_bar: 35464.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12298474157     | Original Mean y_bar: 26126.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12348128719     | Original Mean y_bar: 15058.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12435038633     | Original Mean y_bar: 23425.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12437015663     | Original Mean y_bar: 20732.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12464096399     | Original Mean y_bar: 12473.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12469087159     | Original Mean y_bar: 14039.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12516086381     | Original Mean y_bar: 31247.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12525562897     | Original Mean y_bar: 21019.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12553087367     | Original Mean y_bar: 12222.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12563404661     | Original Mean y_bar: 15405.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12586975987     | Original Mean y_bar: 12592.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12639050029     | Original Mean y_bar: 23592.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12706360889     | Original Mean y_bar: 22565.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12812543417     | Original Mean y_bar: 19731.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12928769837     | Original Mean y_bar: 27485.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12964997761     | Original Mean y_bar: 24854.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 12981374699     | Original Mean y_bar: 13028.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13013381819     | Original Mean y_bar: 21076.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13013633417     | Original Mean y_bar: 32965.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13013740039     | Original Mean y_bar: 11528.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13050141311     | Original Mean y_bar: 18637.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13062472999     | Original Mean y_bar: 12919.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13072733411     | Original Mean y_bar: 11960.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
