=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_12_digits.csv
Test Dimension (k): 2861 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000007
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4293.334346
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 9.43 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 100303653077    | Original Mean y_bar: 99095.20 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 101166153397    | Original Mean y_bar: 62472.00 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 101938673917    | Original Mean y_bar: 52839.00 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102191611177    | Original Mean y_bar: 52185.40 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102331516103    | Original Mean y_bar: 114189.40 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102648147733    | Original Mean y_bar: 49603.60 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102719400659    | Original Mean y_bar: 68588.40 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102809736881    | Original Mean y_bar: 51950.20 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 102992353423    | Original Mean y_bar: 35343.60 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 103128172747    | Original Mean y_bar: 28178.20 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 103435489189    | Original Mean y_bar: 38557.80 | Fitted Prob p_tilde: 0.000017 | Sample Size n: 5
Prime: 103860252283    | Original Mean y_bar: 89047.80 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 103860542021    | Original Mean y_bar: 91993.20 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 104119298609    | Original Mean y_bar: 76371.40 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105138546991    | Original Mean y_bar: 84399.80 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105194274137    | Original Mean y_bar: 70033.60 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105207410369    | Original Mean y_bar: 52632.60 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105271850531    | Original Mean y_bar: 13784.60 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105539327573    | Original Mean y_bar: 17152.00 | Fitted Prob p_tilde: 0.000016 | Sample Size n: 5
Prime: 105705739837    | Original Mean y_bar: 84099.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 105897995143    | Original Mean y_bar: 102828.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 106189501993    | Original Mean y_bar: 63925.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 106472056861    | Original Mean y_bar: 82090.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 107222341657    | Original Mean y_bar: 163534.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 107319916073    | Original Mean y_bar: 47852.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 107501757131    | Original Mean y_bar: 32544.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 107561684353    | Original Mean y_bar: 143158.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 109030415971    | Original Mean y_bar: 98350.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 109575520391    | Original Mean y_bar: 109002.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110370320881    | Original Mean y_bar: 101789.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110384363261    | Original Mean y_bar: 170826.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110436898837    | Original Mean y_bar: 111650.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110721814849    | Original Mean y_bar: 45291.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110740559009    | Original Mean y_bar: 90248.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110755497119    | Original Mean y_bar: 63049.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 110924717807    | Original Mean y_bar: 54953.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 111288162239    | Original Mean y_bar: 69446.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
