=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_13_digits.csv
Test Dimension (k): 1507 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000002
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4367.326117
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 5.99 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1002741654979   | Original Mean y_bar: 183638.40 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1007307916207   | Original Mean y_bar: 127267.70 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1009868816753   | Original Mean y_bar: 315629.25 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1013789348753   | Original Mean y_bar: 164751.90 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1014502174151   | Original Mean y_bar: 115083.20 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1015130460781   | Original Mean y_bar: 97955.05 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1019874006533   | Original Mean y_bar: 194948.05 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1038005239429   | Original Mean y_bar: 146955.05 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1044844571921   | Original Mean y_bar: 219682.80 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1048515943751   | Original Mean y_bar: 72297.05 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1057392853169   | Original Mean y_bar: 149625.60 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1057516462489   | Original Mean y_bar: 240062.05 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1059944031121   | Original Mean y_bar: 229878.55 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1078217872051   | Original Mean y_bar: 134574.40 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1080245914037   | Original Mean y_bar: 226792.15 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1083198060391   | Original Mean y_bar: 124981.40 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1084783206539   | Original Mean y_bar: 126259.55 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1085163919579   | Original Mean y_bar: 107020.45 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1087499030557   | Original Mean y_bar: 131494.80 | Fitted Prob p_tilde: 0.000006 | Sample Size n: 20
Prime: 1087645890553   | Original Mean y_bar: 197035.35 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1089507575857   | Original Mean y_bar: 268324.35 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1093422634561   | Original Mean y_bar: 127610.00 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1094879025073   | Original Mean y_bar: 169671.15 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1096684938367   | Original Mean y_bar: 237084.45 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1099124115827   | Original Mean y_bar: 380926.10 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1101412781263   | Original Mean y_bar: 172463.90 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1107145584697   | Original Mean y_bar: 206261.05 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1122011035241   | Original Mean y_bar: 132284.85 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1122962766259   | Original Mean y_bar: 176844.10 | Fitted Prob p_tilde: 0.000005 | Sample Size n: 20
Prime: 1132054454207   | Original Mean y_bar: 250505.25 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1132331407783   | Original Mean y_bar: 569818.10 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1136481939877   | Original Mean y_bar: 321426.70 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1136793441419   | Original Mean y_bar: 337099.20 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1141536242243   | Original Mean y_bar: 240897.40 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1143936944671   | Original Mean y_bar: 122405.45 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1149220875193   | Original Mean y_bar: 315685.70 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1149244409597   | Original Mean y_bar: 453776.90 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1161151303517   | Original Mean y_bar: 233903.70 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1166018686939   | Original Mean y_bar: 361378.60 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1167513259487   | Original Mean y_bar: 186393.45 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1168711755689   | Original Mean y_bar: 380118.55 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1170127008527   | Original Mean y_bar: 235158.70 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1170943056631   | Original Mean y_bar: 344311.00 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1172510673239   | Original Mean y_bar: 670549.20 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1173309490109   | Original Mean y_bar: 356014.00 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1182394948433   | Original Mean y_bar: 574520.35 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1185139665077   | Original Mean y_bar: 302649.75 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1186184033563   | Original Mean y_bar: 221566.50 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1189050219493   | Original Mean y_bar: 189307.80 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1192691937431   | Original Mean y_bar: 225421.50 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1193306701747   | Original Mean y_bar: 319518.95 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1197650615971   | Original Mean y_bar: 360142.10 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1202241967943   | Original Mean y_bar: 123500.90 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1202686780829   | Original Mean y_bar: 259610.05 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1205338638311   | Original Mean y_bar: 173146.75 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1210376891743   | Original Mean y_bar: 226821.25 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1211910013277   | Original Mean y_bar: 184969.10 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1216966940639   | Original Mean y_bar: 316913.80 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1217045784179   | Original Mean y_bar: 170851.15 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1221053857973   | Original Mean y_bar: 281927.00 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1224086832503   | Original Mean y_bar: 364591.95 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1236174392263   | Original Mean y_bar: 191949.95 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1236390159937   | Original Mean y_bar: 494254.65 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1238534208181   | Original Mean y_bar: 161988.15 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1240669552183   | Original Mean y_bar: 203902.30 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1244062084267   | Original Mean y_bar: 332775.10 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1253440467131   | Original Mean y_bar: 239239.90 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1254081169889   | Original Mean y_bar: 254974.00 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1257788395621   | Original Mean y_bar: 206032.25 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1261725122407   | Original Mean y_bar: 181393.00 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1263334783367   | Original Mean y_bar: 271140.20 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1264666095137   | Original Mean y_bar: 193906.70 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1268498720743   | Original Mean y_bar: 340675.50 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1269715721557   | Original Mean y_bar: 100580.80 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1270815461191   | Original Mean y_bar: 338983.55 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1277790814423   | Original Mean y_bar: 319393.85 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1278740918639   | Original Mean y_bar: 304571.60 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1279732783073   | Original Mean y_bar: 148823.75 | Fitted Prob p_tilde: 0.000004 | Sample Size n: 20
Prime: 1280708256449   | Original Mean y_bar: 431812.00 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1288359280807   | Original Mean y_bar: 190823.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1290899556929   | Original Mean y_bar: 465970.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1295028735037   | Original Mean y_bar: 362881.05 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1304621602121   | Original Mean y_bar: 245314.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1304992536469   | Original Mean y_bar: 208604.85 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1309331907287   | Original Mean y_bar: 244377.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1311239146967   | Original Mean y_bar: 152395.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1311548240017   | Original Mean y_bar: 308022.40 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1313128856773   | Original Mean y_bar: 265357.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1318384963673   | Original Mean y_bar: 465904.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1319341066931   | Original Mean y_bar: 334304.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1319632961237   | Original Mean y_bar: 350085.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1332161612123   | Original Mean y_bar: 235050.75 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1333868712277   | Original Mean y_bar: 114705.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1336113899741   | Original Mean y_bar: 491338.85 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1341891007657   | Original Mean y_bar: 229066.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1343292127171   | Original Mean y_bar: 258239.25 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1344347534609   | Original Mean y_bar: 738153.60 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1346430950009   | Original Mean y_bar: 440062.70 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1347253445773   | Original Mean y_bar: 161021.65 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1354267330151   | Original Mean y_bar: 164398.25 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1357033962773   | Original Mean y_bar: 163897.00 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1357888167133   | Original Mean y_bar: 398869.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1359808086953   | Original Mean y_bar: 324489.25 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1361719819703   | Original Mean y_bar: 377546.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1361993960029   | Original Mean y_bar: 344730.65 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
