=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_5_digits.csv
Test Dimension (k): 5961 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.015736
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 22420.448284
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 19.53 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10037           | Original Mean y_bar:    23.95 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10061           | Original Mean y_bar:    20.75 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10067           | Original Mean y_bar:    11.35 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10069           | Original Mean y_bar:    23.05 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10091           | Original Mean y_bar:    10.05 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10099           | Original Mean y_bar:    15.80 | Fitted Prob p_tilde: 0.057170 | Sample Size n: 20
Prime: 10111           | Original Mean y_bar:    42.50 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10139           | Original Mean y_bar:    15.40 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10141           | Original Mean y_bar:    14.90 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10159           | Original Mean y_bar:    12.55 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10163           | Original Mean y_bar:    14.50 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10177           | Original Mean y_bar:    18.05 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10211           | Original Mean y_bar:    25.80 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10223           | Original Mean y_bar:    11.25 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10243           | Original Mean y_bar:    22.35 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10247           | Original Mean y_bar:    22.75 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10253           | Original Mean y_bar:    16.70 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10267           | Original Mean y_bar:    11.40 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10271           | Original Mean y_bar:    13.05 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10273           | Original Mean y_bar:    15.35 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10289           | Original Mean y_bar:    13.95 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10301           | Original Mean y_bar:    27.90 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10331           | Original Mean y_bar:    30.40 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
Prime: 10333           | Original Mean y_bar:    15.85 | Fitted Prob p_tilde: 0.055794 | Sample Size n: 20
