=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_8_digits.csv
Test Dimension (k): 4360 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000583
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 13761.300940
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.84 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10009963        | Original Mean y_bar:   709.95 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10012087        | Original Mean y_bar:   700.15 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10025933        | Original Mean y_bar:   674.30 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10034231        | Original Mean y_bar:   672.50 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10047047        | Original Mean y_bar:   496.20 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10061119        | Original Mean y_bar:   566.10 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10071913        | Original Mean y_bar:   582.80 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10074709        | Original Mean y_bar:   293.10 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10101551        | Original Mean y_bar:   624.00 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10108279        | Original Mean y_bar:   962.45 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10111511        | Original Mean y_bar:   492.50 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10116889        | Original Mean y_bar:   562.60 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10147867        | Original Mean y_bar:   545.85 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10160443        | Original Mean y_bar:   678.85 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10170767        | Original Mean y_bar:   411.10 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10181123        | Original Mean y_bar:   535.65 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10186093        | Original Mean y_bar:   265.00 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10208971        | Original Mean y_bar:   446.55 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10224329        | Original Mean y_bar:   361.90 | Fitted Prob p_tilde: 0.001796 | Sample Size n: 20
Prime: 10242769        | Original Mean y_bar:   739.20 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10257937        | Original Mean y_bar:  1145.90 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10260917        | Original Mean y_bar:   668.15 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10310137        | Original Mean y_bar:   656.60 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10325213        | Original Mean y_bar:   371.25 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10344703        | Original Mean y_bar:   504.40 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10395023        | Original Mean y_bar:   337.75 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10410143        | Original Mean y_bar:   711.70 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10454131        | Original Mean y_bar:   600.80 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10471063        | Original Mean y_bar:   309.75 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10488833        | Original Mean y_bar:   749.90 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10504073        | Original Mean y_bar:  1016.95 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10513817        | Original Mean y_bar:   603.25 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10542113        | Original Mean y_bar:   608.10 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10549867        | Original Mean y_bar:   506.25 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10555319        | Original Mean y_bar:   337.25 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10596437        | Original Mean y_bar:   549.95 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10602853        | Original Mean y_bar:   480.25 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10604767        | Original Mean y_bar:   352.30 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10626467        | Original Mean y_bar:   647.60 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10641193        | Original Mean y_bar:   822.80 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10671131        | Original Mean y_bar:   483.55 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10672903        | Original Mean y_bar:   581.15 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
Prime: 10676093        | Original Mean y_bar:   370.95 | Fitted Prob p_tilde: 0.001736 | Sample Size n: 20
