Interval_ID,Start,End,Valid_Triplets,Rejections,Rejection_Rate
1,100000000,110000000,1,0,0.0
2,110000001,121000001,1,0,0.0
3,121000002,133100002,1,0,0.0
4,133100003,146410003,1,0,0.0
5,146410004,161051004,1,0,0.0
6,161051005,177156105,1,0,0.0
7,177156106,194871716,1,0,0.0
8,194871717,214358888,1,0,0.0
9,214358889,235794777,1,0,0.0
10,235794778,259374255,1,0,0.0
11,259374256,285311681,1,1,100.0
12,285311682,313842850,1,0,0.0
13,313842851,345227136,1,0,0.0
14,345227137,379749850,1,0,0.0
15,379749851,417724836,1,0,0.0
16,417724837,459497320,1,1,100.0
17,459497321,505447053,1,0,0.0
18,505447054,555991759,1,0,0.0
19,555991760,611590936,1,0,0.0
20,611590937,672750030,1,0,0.0
21,672750031,740025034,1,0,0.0
22,740025035,814027538,1,0,0.0
23,814027539,895430292,1,0,0.0
24,895430293,984973322,1,0,0.0
25,984973323,999999999,1,0,0.0
GLOBAL_SUMMARY,ALL,ALL,25,2,8.0
