=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 5269.921079
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 11.96 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1000155847      | Original Mean y_bar:  6555.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1002511057      | Original Mean y_bar: 12507.40 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1004359091      | Original Mean y_bar: 11763.00 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1004581751      | Original Mean y_bar:  3856.20 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1006741093      | Original Mean y_bar:  3280.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1010850689      | Original Mean y_bar:  2960.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1010930743      | Original Mean y_bar:  5739.20 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1014188569      | Original Mean y_bar:  4542.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1014602773      | Original Mean y_bar:  5858.20 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1019447197      | Original Mean y_bar:  3498.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1026067699      | Original Mean y_bar:  3490.60 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1027271863      | Original Mean y_bar:  1608.20 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1030573073      | Original Mean y_bar:  3419.80 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1032010873      | Original Mean y_bar:  4975.80 | Fitted Prob p_tilde: 0.000189 | Sample Size n: 5
Prime: 1034870371      | Original Mean y_bar:  6606.80 | Fitted Prob p_tilde: 0.000181 | Sample Size n: 5
Prime: 1039370261      | Original Mean y_bar:  5645.60 | Fitted Prob p_tilde: 0.000181 | Sample Size n: 5
Prime: 1039636991      | Original Mean y_bar:  4943.80 | Fitted Prob p_tilde: 0.000181 | Sample Size n: 5
Prime: 1039654513      | Original Mean y_bar:  6490.00 | Fitted Prob p_tilde: 0.000181 | Sample Size n: 5
Prime: 1044862417      | Original Mean y_bar:  3967.40 | Fitted Prob p_tilde: 0.000181 | Sample Size n: 5
Prime: 1046968049      | Original Mean y_bar: 10397.60 | Fitted Prob p_tilde: 0.000149 | Sample Size n: 5
Prime: 1049911451      | Original Mean y_bar:  3026.20 | Fitted Prob p_tilde: 0.000149 | Sample Size n: 5
Prime: 1055217641      | Original Mean y_bar: 10498.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1055522957      | Original Mean y_bar: 11333.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1055600279      | Original Mean y_bar: 16008.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1057145581      | Original Mean y_bar: 39287.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1058824409      | Original Mean y_bar:  2199.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1058975191      | Original Mean y_bar:  5499.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1060848961      | Original Mean y_bar:  8894.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1064048917      | Original Mean y_bar:  1522.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1070832331      | Original Mean y_bar: 11936.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1076623711      | Original Mean y_bar: 16499.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1077263323      | Original Mean y_bar: 12344.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1078062409      | Original Mean y_bar:  3056.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1080294997      | Original Mean y_bar:  9184.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1084955467      | Original Mean y_bar:  9191.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1086626147      | Original Mean y_bar:  6858.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
Prime: 1094097089      | Original Mean y_bar:  6543.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 5
