=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4623.424234
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.59 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10049982713     | Original Mean y_bar: 11634.60 | Fitted Prob p_tilde: 0.000092 | Sample Size n: 5
Prime: 10055886623     | Original Mean y_bar: 10002.80 | Fitted Prob p_tilde: 0.000092 | Sample Size n: 5
Prime: 10083588077     | Original Mean y_bar: 29418.20 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10097512717     | Original Mean y_bar: 20558.20 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10108489511     | Original Mean y_bar: 20458.40 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10130812079     | Original Mean y_bar: 21389.40 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10133438411     | Original Mean y_bar:  7439.60 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10148716561     | Original Mean y_bar: 17202.20 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10168893373     | Original Mean y_bar:  9170.20 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10176962699     | Original Mean y_bar: 11263.40 | Fitted Prob p_tilde: 0.000058 | Sample Size n: 5
Prime: 10234819421     | Original Mean y_bar: 21209.00 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10270406743     | Original Mean y_bar: 22761.40 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10326079369     | Original Mean y_bar: 19442.60 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10330712963     | Original Mean y_bar: 15445.00 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10347962279     | Original Mean y_bar:  9658.60 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10369427843     | Original Mean y_bar: 16646.40 | Fitted Prob p_tilde: 0.000057 | Sample Size n: 5
Prime: 10412972723     | Original Mean y_bar: 24456.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10429366141     | Original Mean y_bar: 32238.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10449243293     | Original Mean y_bar: 29002.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10489891691     | Original Mean y_bar: 24998.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10524681967     | Original Mean y_bar: 14169.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10559015953     | Original Mean y_bar: 28070.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10628761333     | Original Mean y_bar: 26156.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10639639723     | Original Mean y_bar: 21918.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10651704251     | Original Mean y_bar: 15298.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10668920419     | Original Mean y_bar:  8986.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10685926577     | Original Mean y_bar: 10769.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10693813511     | Original Mean y_bar: 16973.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10727186753     | Original Mean y_bar: 22122.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10729773427     | Original Mean y_bar: 14134.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10790584579     | Original Mean y_bar: 14192.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10800257297     | Original Mean y_bar:  9987.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10800402917     | Original Mean y_bar: 49644.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10819432307     | Original Mean y_bar: 25390.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10840446349     | Original Mean y_bar: 19866.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10866878219     | Original Mean y_bar: 12845.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10883387059     | Original Mean y_bar: 39547.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10931109199     | Original Mean y_bar:  8880.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10971031067     | Original Mean y_bar: 38648.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10972049563     | Original Mean y_bar: 23206.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10991556131     | Original Mean y_bar: 17007.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 10997519893     | Original Mean y_bar: 11640.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 11010946981     | Original Mean y_bar: 12233.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
