=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_3_digits.csv
Test Dimension (k): 143 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.122374
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 614.181524
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 1.69 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 101             | Original Mean y_bar:     7.20 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 103             | Original Mean y_bar:     7.40 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 107             | Original Mean y_bar:     6.00 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 109             | Original Mean y_bar:     4.75 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 113             | Original Mean y_bar:     3.80 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 127             | Original Mean y_bar:     8.05 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 131             | Original Mean y_bar:     5.00 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 137             | Original Mean y_bar:     4.80 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 139             | Original Mean y_bar:     2.75 | Fitted Prob p_tilde: 0.180905 | Sample Size n: 20
Prime: 149             | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 151             | Original Mean y_bar:     9.00 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 157             | Original Mean y_bar:    10.95 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 163             | Original Mean y_bar:     9.45 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 167             | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 173             | Original Mean y_bar:     4.40 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 179             | Original Mean y_bar:     2.90 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 181             | Original Mean y_bar:     4.90 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 191             | Original Mean y_bar:     5.25 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 193             | Original Mean y_bar:     7.45 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 197             | Original Mean y_bar:     6.10 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 199             | Original Mean y_bar:     3.10 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 211             | Original Mean y_bar:     3.20 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 223             | Original Mean y_bar:    33.70 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 227             | Original Mean y_bar:     4.15 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 229             | Original Mean y_bar:     8.70 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 233             | Original Mean y_bar:     6.00 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 239             | Original Mean y_bar:     6.25 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 241             | Original Mean y_bar:     4.40 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 251             | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 257             | Original Mean y_bar:     5.35 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 263             | Original Mean y_bar:     4.55 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 269             | Original Mean y_bar:     4.90 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 271             | Original Mean y_bar:     6.10 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 277             | Original Mean y_bar:     3.90 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 281             | Original Mean y_bar:     3.65 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 283             | Original Mean y_bar:     3.35 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 293             | Original Mean y_bar:     4.60 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 307             | Original Mean y_bar:     3.25 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 311             | Original Mean y_bar:     3.45 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 313             | Original Mean y_bar:    10.25 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 317             | Original Mean y_bar:     7.75 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 331             | Original Mean y_bar:     4.15 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 337             | Original Mean y_bar:     6.10 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 347             | Original Mean y_bar:     5.85 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 349             | Original Mean y_bar:     5.25 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 353             | Original Mean y_bar:     6.50 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 359             | Original Mean y_bar:     4.35 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 367             | Original Mean y_bar:     6.80 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 373             | Original Mean y_bar:     2.70 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 379             | Original Mean y_bar:     3.85 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 383             | Original Mean y_bar:     6.55 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 389             | Original Mean y_bar:     3.40 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 397             | Original Mean y_bar:     4.70 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 401             | Original Mean y_bar:     4.40 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 409             | Original Mean y_bar:     4.85 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 419             | Original Mean y_bar:     4.50 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 421             | Original Mean y_bar:     4.30 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 431             | Original Mean y_bar:     7.00 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 433             | Original Mean y_bar:     7.05 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 439             | Original Mean y_bar:     3.55 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 443             | Original Mean y_bar:     2.55 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 449             | Original Mean y_bar:     5.15 | Fitted Prob p_tilde: 0.169140 | Sample Size n: 20
Prime: 457             | Original Mean y_bar:     6.20 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 461             | Original Mean y_bar:     7.95 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 463             | Original Mean y_bar:     4.75 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 467             | Original Mean y_bar:     6.40 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 479             | Original Mean y_bar:     8.00 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 487             | Original Mean y_bar:     6.25 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 491             | Original Mean y_bar:     5.15 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 499             | Original Mean y_bar:     7.05 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 503             | Original Mean y_bar:     4.75 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 509             | Original Mean y_bar:     6.25 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 521             | Original Mean y_bar:     4.25 | Fitted Prob p_tilde: 0.164179 | Sample Size n: 20
Prime: 523             | Original Mean y_bar:     6.80 | Fitted Prob p_tilde: 0.156863 | Sample Size n: 20
Prime: 541             | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.156863 | Sample Size n: 20
Prime: 547             | Original Mean y_bar:     6.80 | Fitted Prob p_tilde: 0.147059 | Sample Size n: 20
Prime: 557             | Original Mean y_bar:    10.80 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
Prime: 563             | Original Mean y_bar:    11.25 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
Prime: 569             | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
Prime: 571             | Original Mean y_bar:    14.80 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
Prime: 577             | Original Mean y_bar:    11.55 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
Prime: 587             | Original Mean y_bar:     9.35 | Fitted Prob p_tilde: 0.101225 | Sample Size n: 20
