=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_4_digits.csv
Test Dimension (k): 1061 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.052137
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 3726.665061
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 4.42 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1009            | Original Mean y_bar:    13.70 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1013            | Original Mean y_bar:     8.60 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1019            | Original Mean y_bar:     9.10 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1021            | Original Mean y_bar:     6.60 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1031            | Original Mean y_bar:     9.20 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1033            | Original Mean y_bar:     6.25 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1039            | Original Mean y_bar:     8.05 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1049            | Original Mean y_bar:     7.95 | Fitted Prob p_tilde: 0.115191 | Sample Size n: 20
Prime: 1051            | Original Mean y_bar:     9.05 | Fitted Prob p_tilde: 0.111111 | Sample Size n: 20
Prime: 1061            | Original Mean y_bar:     9.65 | Fitted Prob p_tilde: 0.111111 | Sample Size n: 20
Prime: 1063            | Original Mean y_bar:     8.90 | Fitted Prob p_tilde: 0.111111 | Sample Size n: 20
Prime: 1069            | Original Mean y_bar:     8.40 | Fitted Prob p_tilde: 0.111111 | Sample Size n: 20
Prime: 1087            | Original Mean y_bar:    36.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1091            | Original Mean y_bar:     6.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1093            | Original Mean y_bar:    21.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1097            | Original Mean y_bar:    18.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1103            | Original Mean y_bar:     5.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1109            | Original Mean y_bar:    13.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1117            | Original Mean y_bar:    21.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1123            | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1129            | Original Mean y_bar:    18.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1151            | Original Mean y_bar:     7.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1153            | Original Mean y_bar:    11.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1163            | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1171            | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1181            | Original Mean y_bar:    13.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1187            | Original Mean y_bar:     8.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1193            | Original Mean y_bar:    16.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1201            | Original Mean y_bar:    11.65 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1213            | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1217            | Original Mean y_bar:    15.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1223            | Original Mean y_bar:    14.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1229            | Original Mean y_bar:    11.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1231            | Original Mean y_bar:     8.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1237            | Original Mean y_bar:    10.95 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1249            | Original Mean y_bar:    10.70 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1259            | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1277            | Original Mean y_bar:     8.75 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1279            | Original Mean y_bar:    16.85 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1283            | Original Mean y_bar:     4.80 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1289            | Original Mean y_bar:     6.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1291            | Original Mean y_bar:    10.35 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1297            | Original Mean y_bar:     8.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1301            | Original Mean y_bar:     9.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1303            | Original Mean y_bar:    12.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1307            | Original Mean y_bar:     7.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1319            | Original Mean y_bar:     6.00 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1321            | Original Mean y_bar:    14.60 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1327            | Original Mean y_bar:     7.55 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1361            | Original Mean y_bar:     9.85 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1367            | Original Mean y_bar:    10.45 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1373            | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1381            | Original Mean y_bar:     9.80 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1399            | Original Mean y_bar:     9.20 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1409            | Original Mean y_bar:    23.25 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1423            | Original Mean y_bar:     7.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1427            | Original Mean y_bar:     9.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1429            | Original Mean y_bar:    10.85 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1433            | Original Mean y_bar:    11.40 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1439            | Original Mean y_bar:    20.30 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1447            | Original Mean y_bar:    12.05 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
Prime: 1451            | Original Mean y_bar:    11.10 | Fitted Prob p_tilde: 0.094350 | Sample Size n: 20
