=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_6_digits.csv
Test Dimension (k): 8060 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.006153
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 25152.250511
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 25.98 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 100019          | Original Mean y_bar:    67.05 | Fitted Prob p_tilde: 0.014914 | Sample Size n: 20
Prime: 100103          | Original Mean y_bar:    99.70 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100193          | Original Mean y_bar:    96.45 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100403          | Original Mean y_bar:    63.40 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100459          | Original Mean y_bar:    80.25 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100613          | Original Mean y_bar:    76.35 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100769          | Original Mean y_bar:    73.20 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100931          | Original Mean y_bar:    64.00 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 100987          | Original Mean y_bar:    64.25 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101089          | Original Mean y_bar:    91.95 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101159          | Original Mean y_bar:    39.35 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101173          | Original Mean y_bar:   130.80 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101279          | Original Mean y_bar:    32.75 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101323          | Original Mean y_bar:    41.30 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101363          | Original Mean y_bar:    61.35 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101377          | Original Mean y_bar:    66.80 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101599          | Original Mean y_bar:    52.00 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101723          | Original Mean y_bar:    63.85 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101741          | Original Mean y_bar:   166.05 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 101807          | Original Mean y_bar:    42.10 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102259          | Original Mean y_bar:    44.35 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102409          | Original Mean y_bar:    45.45 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102461          | Original Mean y_bar:    60.85 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102533          | Original Mean y_bar:    81.05 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102607          | Original Mean y_bar:    31.05 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102643          | Original Mean y_bar:    53.20 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 102667          | Original Mean y_bar:    53.15 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 103007          | Original Mean y_bar:    81.35 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 103043          | Original Mean y_bar:    80.85 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 103079          | Original Mean y_bar:    39.25 | Fitted Prob p_tilde: 0.014673 | Sample Size n: 20
Prime: 103451          | Original Mean y_bar:    77.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 103583          | Original Mean y_bar:    96.80 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 103657          | Original Mean y_bar:   120.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 103669          | Original Mean y_bar:   170.05 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
