=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_7_digits.csv
Test Dimension (k): 5012 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.001881
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 15262.362535
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 16.68 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1001629         | Original Mean y_bar:   627.45 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1003109         | Original Mean y_bar:   271.80 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1006769         | Original Mean y_bar:   105.40 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1006883         | Original Mean y_bar:   187.80 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1009159         | Original Mean y_bar:   216.75 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1009193         | Original Mean y_bar:   349.05 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1012481         | Original Mean y_bar:   329.75 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1016497         | Original Mean y_bar:   272.70 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1019357         | Original Mean y_bar:   192.90 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1020683         | Original Mean y_bar:   252.85 | Fitted Prob p_tilde: 0.003563 | Sample Size n: 20
Prime: 1021429         | Original Mean y_bar:   335.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1021907         | Original Mean y_bar:   831.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1022611         | Original Mean y_bar:   276.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1023313         | Original Mean y_bar:   407.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1024379         | Original Mean y_bar:   153.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1026761         | Original Mean y_bar:   422.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1027853         | Original Mean y_bar:   794.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1028597         | Original Mean y_bar:   298.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1028843         | Original Mean y_bar:   341.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1033007         | Original Mean y_bar:   133.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1033421         | Original Mean y_bar:   153.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1033663         | Original Mean y_bar:   260.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1035649         | Original Mean y_bar:   395.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1036271         | Original Mean y_bar:   439.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1037303         | Original Mean y_bar:   226.35 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1039033         | Original Mean y_bar:   473.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1040159         | Original Mean y_bar:   265.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1043839         | Original Mean y_bar:   412.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1046413         | Original Mean y_bar:   510.90 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1047229         | Original Mean y_bar:   511.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1053259         | Original Mean y_bar:   230.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1054483         | Original Mean y_bar:   573.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1054853         | Original Mean y_bar:   198.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1055143         | Original Mean y_bar:   218.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1055531         | Original Mean y_bar:   183.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1056089         | Original Mean y_bar:   207.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1058077         | Original Mean y_bar:   495.05 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1058153         | Original Mean y_bar:   214.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1061969         | Original Mean y_bar:   634.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1066313         | Original Mean y_bar:   165.45 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1066811         | Original Mean y_bar:   698.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1067387         | Original Mean y_bar:   129.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1068107         | Original Mean y_bar:   104.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1074901         | Original Mean y_bar:   196.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1074991         | Original Mean y_bar:   243.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1076717         | Original Mean y_bar:   432.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1079821         | Original Mean y_bar:   294.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1080433         | Original Mean y_bar:   400.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1082603         | Original Mean y_bar:   240.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1084793         | Original Mean y_bar:   309.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1086809         | Original Mean y_bar:   648.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1088309         | Original Mean y_bar:   294.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1089469         | Original Mean y_bar:   219.90 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1092269         | Original Mean y_bar:   344.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1093109         | Original Mean y_bar:   316.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1094183         | Original Mean y_bar:   200.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1095071         | Original Mean y_bar:   161.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1099717         | Original Mean y_bar:   373.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1100977         | Original Mean y_bar:   451.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1102823         | Original Mean y_bar:   233.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1104427         | Original Mean y_bar:   122.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1104589         | Original Mean y_bar:   143.05 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1104941         | Original Mean y_bar:   251.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1108693         | Original Mean y_bar:   364.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1111547         | Original Mean y_bar:   379.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1116911         | Original Mean y_bar:   248.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1117591         | Original Mean y_bar:   208.05 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1118041         | Original Mean y_bar:   503.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1121179         | Original Mean y_bar:   260.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1121369         | Original Mean y_bar:   458.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
