=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_9_digits.csv
Test Dimension (k): 4018 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000219
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 11126.392223
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.09 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 100066381       | Original Mean y_bar:  1812.20 | Fitted Prob p_tilde: 0.000678 | Sample Size n: 20
Prime: 100145477       | Original Mean y_bar:  2113.85 | Fitted Prob p_tilde: 0.000678 | Sample Size n: 20
Prime: 100255049       | Original Mean y_bar:  1046.45 | Fitted Prob p_tilde: 0.000678 | Sample Size n: 20
Prime: 100273559       | Original Mean y_bar:   926.90 | Fitted Prob p_tilde: 0.000678 | Sample Size n: 20
Prime: 100316569       | Original Mean y_bar:  6766.30 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 100799687       | Original Mean y_bar:  2167.70 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 101060581       | Original Mean y_bar:  1966.00 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 101306539       | Original Mean y_bar:  1270.85 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 101553707       | Original Mean y_bar:  1575.35 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 101905561       | Original Mean y_bar:  1503.05 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102206653       | Original Mean y_bar:  2897.05 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102274171       | Original Mean y_bar:  2032.30 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102488327       | Original Mean y_bar:  2882.95 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102594463       | Original Mean y_bar:  1316.75 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102731791       | Original Mean y_bar:  2705.55 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 102971251       | Original Mean y_bar:  1725.50 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103093691       | Original Mean y_bar:  3278.90 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103201687       | Original Mean y_bar:  1366.80 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103250167       | Original Mean y_bar:  2878.40 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103348187       | Original Mean y_bar:  2128.80 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103521983       | Original Mean y_bar:  2007.35 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103749421       | Original Mean y_bar:  2874.60 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 103912051       | Original Mean y_bar:  2434.95 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104553641       | Original Mean y_bar:  4111.30 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104630213       | Original Mean y_bar:  2934.20 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104744239       | Original Mean y_bar:  1219.00 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104802011       | Original Mean y_bar:  1465.95 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104930663       | Original Mean y_bar:  2336.80 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 104976233       | Original Mean y_bar:  1956.80 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 105005227       | Original Mean y_bar:  1435.65 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 105011383       | Original Mean y_bar:  2244.55 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 105099959       | Original Mean y_bar:  1537.75 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 105196127       | Original Mean y_bar:  1084.30 | Fitted Prob p_tilde: 0.000439 | Sample Size n: 20
Prime: 105313457       | Original Mean y_bar:  4724.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 105396331       | Original Mean y_bar:  2037.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 105697169       | Original Mean y_bar:  4248.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 105921227       | Original Mean y_bar:  1129.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 106196053       | Original Mean y_bar:  3699.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 106666141       | Original Mean y_bar:  2840.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 106812347       | Original Mean y_bar:  2200.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 106868963       | Original Mean y_bar:  1186.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 106996199       | Original Mean y_bar:  3168.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 107304251       | Original Mean y_bar:  2621.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 107536771       | Original Mean y_bar:  2767.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 107660453       | Original Mean y_bar:  2495.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 107942581       | Original Mean y_bar:  1708.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 108154687       | Original Mean y_bar:  1691.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 108335537       | Original Mean y_bar:  2540.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 108609157       | Original Mean y_bar:  2319.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 108875587       | Original Mean y_bar:  2161.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 109106741       | Original Mean y_bar:  1693.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 109128671       | Original Mean y_bar:  1637.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 109545047       | Original Mean y_bar:  3698.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 109906637       | Original Mean y_bar:  1368.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 110079701       | Original Mean y_bar:  4692.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 110088487       | Original Mean y_bar:  1025.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 110297713       | Original Mean y_bar:  1774.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 111057701       | Original Mean y_bar:  5009.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 111720533       | Original Mean y_bar:  2113.95 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 111865427       | Original Mean y_bar:  2887.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112054451       | Original Mean y_bar:  1945.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112226029       | Original Mean y_bar:  2168.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112409551       | Original Mean y_bar:  3240.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112448383       | Original Mean y_bar:  3214.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112656109       | Original Mean y_bar:  1847.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 112940969       | Original Mean y_bar:  2711.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 113080999       | Original Mean y_bar:  2395.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 113281907       | Original Mean y_bar:  2346.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 113495491       | Original Mean y_bar:  1794.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114018407       | Original Mean y_bar:   848.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114097913       | Original Mean y_bar:  3500.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114122587       | Original Mean y_bar:  2261.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114363857       | Original Mean y_bar:  2187.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114511259       | Original Mean y_bar:  1423.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114516349       | Original Mean y_bar:  3735.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114750569       | Original Mean y_bar:  3688.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114847021       | Original Mean y_bar:  2885.55 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114928703       | Original Mean y_bar:  2546.90 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114990943       | Original Mean y_bar:  1874.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 114991801       | Original Mean y_bar:  4186.60 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 115257619       | Original Mean y_bar:  1687.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 115349489       | Original Mean y_bar:  2778.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 115367279       | Original Mean y_bar:  3117.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 115422137       | Original Mean y_bar:  2069.95 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 115877677       | Original Mean y_bar:   953.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116124857       | Original Mean y_bar:  3709.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116246881       | Original Mean y_bar:  1785.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116403659       | Original Mean y_bar:   928.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116534933       | Original Mean y_bar:  2207.80 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116686103       | Original Mean y_bar:  1832.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116937323       | Original Mean y_bar:  2839.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 116972663       | Original Mean y_bar:  1083.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117119203       | Original Mean y_bar:  3452.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117263987       | Original Mean y_bar:  1925.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117415163       | Original Mean y_bar:  3006.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117642449       | Original Mean y_bar:  3896.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117826483       | Original Mean y_bar:  1203.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
