prime,target_n,total_trials,p_exact,p_hat,relative_error_percent
257,5,16,0.196078431372549,0.3125,59.375
293,5,35,0.1580756013745704,0.14285714285714285,9.6273
353,5,38,0.1823361823361823,0.13157894736842105,27.8372
509,5,26,0.1183431952662721,0.19230769230769232,62.5
523,5,26,0.0806142034548944,0.19230769230769232,138.5531
557,5,54,0.0936936936936937,0.09259259259259259,1.1752
587,5,43,0.0888888888888888,0.11627906976744186,30.814
613,5,41,0.1112929623567921,0.12195121951219512,9.5768
683,5,71,0.1027900146842878,0.07042253521126761,31.4889
823,5,94,0.0633373934226552,0.05319148936170213,16.0188
1213,5,82,0.0875309661436829,0.06097560975609756,30.3382
1423,5,29,0.1632653061224489,0.1724137931034483,5.6034
1579,5,14,0.1420418516169942,0.35714285714285715,151.4349
1613,5,72,0.079453755431409,0.06944444444444445,12.5977
3467,5,99,0.0467532467532467,0.050505050505050504,8.0247
5641,5,155,0.068097180351126,0.03225806451612903,52.6294
5923,5,46,0.0719473061982773,0.10869565217391304,51.0768
6173,5,83,0.0823205315183924,0.060240963855421686,26.8215
9643,5,66,0.0628565501503993,0.07575757575757576,20.5246
9781,5,180,0.0458124552612741,0.027777777777777776,39.3663
21013,5,374,0.0156108704964066,0.013368983957219251,14.3611
34141,5,304,0.0228477694132809,0.01644736842105263,28.0132
45979,5,90,0.0306675076668769,0.05555555555555555,81.1545
46957,5,311,0.0231711212863379,0.01607717041800643,30.6155
48281,5,312,0.0218314380993806,0.016025641025641024,26.5937
56857,5,2234,0.0025327587723155,0.0022381378692927483,11.6324
57713,5,707,0.0099807662317409,0.007072135785007072,29.1424
60917,5,622,0.0039399162767791,0.008038585209003215,104.0293
63353,5,642,0.0136383008950134,0.00778816199376947,42.8949
65287,5,196,0.0162365014934517,0.025510204081632654,57.1164
