prime,A,x0,trials
137,119,118,9
137,18,101,3
137,125,87,16
137,31,40,2
137,40,112,2
137,124,65,17
137,12,107,7
137,13,65,3
137,40,126,5
137,13,49,20
137,18,44,1
137,3,61,10
137,124,123,7
137,81,21,3
137,56,33,1
137,125,63,3
137,47,80,3
137,18,19,3
137,106,69,2
137,74,88,18
137,47,29,6
137,18,112,2
137,63,49,7
137,13,36,8
137,63,128,2
137,3,32,11
137,74,64,2
137,13,14,6
137,47,45,4
137,47,12,9
137,85,114,10
137,52,53,1
137,18,93,10
137,52,6,2
137,81,47,1
137,125,109,3
137,119,28,4
137,18,126,1
137,97,11,2
137,31,135,1
137,76,92,17
137,119,109,10
137,52,52,1
137,12,50,9
137,134,76,8
137,76,5,3
137,56,66,1
137,97,30,3
137,12,74,15
137,106,24,6
137,124,59,6
137,119,36,2
137,81,89,5
137,63,73,13
137,47,52,5
137,74,15,2
137,85,31,2
137,134,128,15
137,74,50,5
137,56,126,1
137,90,57,1
137,106,90,5
137,3,105,20
137,106,113,10
137,63,100,5
137,12,93,15
137,12,105,1
137,61,26,3
137,13,78,5
137,18,28,12
137,31,64,7
137,76,79,12
137,81,87,1
137,134,105,5
137,61,96,10
137,106,16,15
137,40,14,7
137,134,30,2
137,13,118,9
137,61,67,1
137,40,77,10
137,85,134,15
137,13,59,28
137,76,48,1
137,74,126,12
137,119,93,12
137,134,112,31
137,63,63,2
137,125,30,11
137,52,23,17
137,119,44,5
137,85,84,6
137,63,122,17
137,13,72,7
137,52,46,1
137,63,25,2
137,47,116,8
137,40,49,4
137,97,32,2
137,81,86,1
149,67,38,12
149,82,23,5
149,42,78,3
149,82,13,1
149,62,142,33
149,39,129,6
149,116,142,14
149,125,21,6
149,65,27,2
149,38,137,4
149,39,7,5
149,19,78,6
149,42,23,3
149,111,106,7
149,110,28,6
149,65,3,3
149,130,71,35
149,87,7,1
149,110,16,9
149,52,74,24
149,117,87,1
149,39,64,7
149,107,9,5
149,65,102,5
149,32,126,2
149,32,136,4
149,110,20,3
149,65,93,2
149,32,11,8
149,111,141,5
149,84,8,14
149,90,108,4
149,38,56,9
149,116,140,1
149,107,55,7
149,24,8,1
149,52,131,4
149,39,63,9
149,97,75,4
149,97,58,8
149,87,80,22
149,24,58,3
149,116,144,5
149,116,130,8
149,33,9,2
149,97,14,6
149,65,29,4
149,32,3,3
149,130,77,18
149,125,60,2
149,24,117,10
149,125,66,17
149,111,108,9
149,59,41,4
149,130,106,11
149,33,129,7
149,67,126,37
149,38,62,2
149,130,115,3
149,90,94,2
149,117,27,4
149,42,55,10
149,130,21,2
149,62,54,6
149,62,85,17
149,116,33,4
149,33,116,4
149,90,111,7
149,32,62,4
149,97,32,4
149,65,77,2
149,24,135,9
149,82,109,4
149,84,88,13
149,38,8,10
149,117,138,2
149,52,91,7
149,65,141,1
149,65,109,6
149,84,119,10
149,111,12,5
149,87,123,2
149,117,146,20
149,84,80,17
149,97,41,8
149,39,133,2
149,67,136,12
149,130,97,7
149,39,121,5
149,84,113,3
149,24,115,8
149,130,92,3
149,84,63,3
149,110,82,3
149,107,53,16
149,130,60,2
149,24,74,12
149,97,18,23
149,42,83,15
149,116,82,2
173,87,146,6
173,54,30,5
173,160,31,3
173,71,94,7
173,154,59,5
173,3,153,6
173,121,116,9
173,54,7,6
173,87,129,2
173,24,163,3
173,102,46,15
173,7,131,3
173,149,49,1
173,24,22,14
173,157,87,13
173,141,160,7
173,71,103,5
173,86,39,4
173,32,40,3
173,119,125,1
173,170,161,8
173,149,24,4
173,85,100,6
173,52,64,5
173,86,155,7
173,111,75,3
173,18,103,2
173,71,42,22
173,24,124,1
173,154,44,4
173,160,67,3
173,157,30,3
173,18,45,1
173,18,166,1
173,3,101,23
173,102,170,1
173,85,16,2
173,54,143,10
173,121,15,3
173,85,137,15
173,19,94,7
173,52,54,5
173,121,100,8
173,88,54,3
173,170,72,5
173,144,144,4
173,3,3,4
173,29,167,2
173,111,112,10
173,154,98,18
173,166,42,22
173,62,48,2
173,29,6,10
173,32,160,3
173,85,13,5
173,141,14,4
173,149,113,1
173,18,50,4
173,144,113,1
173,141,133,4
173,102,70,23
173,18,74,5
173,85,40,6
173,160,152,2
173,16,19,2
173,102,108,2
173,160,56,3
173,121,150,5
173,24,118,3
173,13,142,3
173,119,145,3
173,85,24,18
173,144,29,1
173,144,150,8
173,29,144,1
173,3,12,3
173,166,103,6
173,16,71,16
173,29,124,2
173,149,137,1
173,160,73,6
173,141,158,3
173,144,49,2
173,121,88,1
173,19,114,3
173,85,109,6
173,157,102,1
173,149,10,5
173,170,20,2
173,160,64,3
173,160,140,15
173,85,119,2
173,13,21,13
173,29,60,2
173,24,149,10
173,88,73,6
173,119,97,10
173,32,133,6
173,87,8,7
173,29,29,3
179,151,46,5
179,59,152,1
179,59,55,3
179,80,98,4
179,47,138,1
179,59,42,2
179,107,36,1
179,142,129,5
179,170,42,1
179,147,60,1
179,87,48,4
179,94,59,1
179,98,159,1
179,92,92,3
179,104,176,3
179,113,176,4
179,81,9,1
179,99,156,2
179,107,33,2
179,140,124,2
179,138,122,9
179,167,94,4
179,68,153,1
179,68,65,3
179,75,168,1
179,124,29,4
179,81,110,1
179,104,127,5
179,93,27,1
179,39,102,1
179,170,75,3
179,37,111,2
179,4,92,1
179,167,105,2
