prime,a_count,exact_probability
257,50,0.19607843137254902
293,46,0.15807560137457044
353,64,0.18233618233618235
509,60,0.11834319526627218
523,42,0.08061420345489444
557,52,0.0936936936936937
587,52,0.08888888888888889
613,68,0.11129296235679215
683,70,0.1027900146842878
823,52,0.06333739342265529
1213,106,0.0875309661436829
1423,232,0.16326530612244897
1579,224,0.14204185161699429
1613,128,0.07945375543140906
3467,162,0.046753246753246755
5641,384,0.06809718035112608
5923,426,0.07194730619827731
6173,508,0.08232053151839248
9643,606,0.06285655015039934
9781,448,0.04581245526127416
21013,328,0.015610870496406644
34141,780,0.022847769413280997
45979,1410,0.03066750766687692
46957,1088,0.023171121286337984
48281,1054,0.021831438099380682
56857,144,0.0025327587723155396
57713,576,0.009980766231740917
60917,240,0.003939916276779119
63353,864,0.013638300895013496
65287,1060,0.016236501493451787
